BSA+PBS,,
Wavelength (nm),Intensity (a.u.),
300,19.16142082,
301.0700073,19.08485794,
302,20.72278976,
303.0700073,23.16612244,
304,24.73090363,
305.0700073,26.15895081,
306,26.99096107,
307.0700073,30.13221931,
308,32.56067276,
309.0700073,33.08963013,
310,34.80521011,
311.0700073,37.71961975,
312,40.60209274,
313.0700073,43.61253738,
314,44.02261353,
315.0700073,46.57068253,
316,51.26387024,
317.0700073,50.97367096,
318,54.54396439,
319.0700073,57.32246399,
320,60.98670959,
321.0700073,63.27368927,
322,66.27895355,
323.0700073,70.48712158,
324,72.55366516,
325.0700073,75.68984985,
326,76.35241699,
327.0700073,82.06134033,
328,81.87218475,
329.0700073,86.29788208,
330,87.93480682,
331.0700073,89.62904358,
332,91.17932892,
333.0700073,94.1847229,
334,96.00281525,
335.0700073,94.88851929,
336,98.61647797,
337.0700073,102.6310043,
338,101.5978317,
339.0700073,101.6670532,
340,102.4714432,
341.0700073,106.1867294,
342,103.6027069,
343.0700073,108.646286,
344,106.3293686,
345.0700073,106.533844,
346,106.1329193,
347.0700073,107.7883148,
348,106.9727707,
349.0700073,106.1030731,
350,105.0692215,
351.0700073,105.3408737,
352,104.2581329,
353.0700073,102.6918716,
354,104.7256775,
355.0700073,103.6945648,
356,100.7979813,
357.0700073,102.1236572,
358,98.66020203,
359.0700073,96.3314209,
360,93.54265594,
361.0599976,93.10005188,
361.9599915,90.391716,
363.0299988,87.72593689,
363.9299927,87.58963776,
365,85.27872467,
366.0599976,83.73188782,
366.9599915,81.78166962,
368.0299988,78.76358032,
368.9299927,74.61305237,
370,74.49120331,
371.0700073,73.29050446,
372,70.97728729,
373.0700073,69.85643768,
374,66.87094116,
375.0700073,64.21692657,
376,61.56055832,
377.0700073,60.16506958,
378,59.16277695,
379.0700073,56.69128418,
380,54.95656967,
381.0599976,50.89025116,
381.9599915,52.49604034,
383.0299988,50.23106384,
383.9299927,46.34720612,
385,45.37637711,
386.0599976,42.72690201,
386.9599915,41.39157867,
388.0299988,40.56457901,
388.9299927,38.59164047,
390,39.23869324,
391.0599976,35.6955719,
391.9599915,34.88367081,
393.0299988,34.71239471,
393.9299927,33.12866974,
395,30.62453842,
396.0599976,30.03372192,
396.9599915,30.38848877,
398.0299988,27.12403297,
398.9299927,26.54271126,
400,24.35163879,

BSA+PBS,
BSA+PBS
Collection Time: 3/3/2026 4:15:32 pm
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          el02116112
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        300.00
Stop (nm)                         400.00
Ex. Wavelength (nm)               280.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 3/3/2026 3:52:07 pm
Method Modifications:
Autoconvert Changed: 3/3/2026 4:10:14 pm, Old:None, New:Ascii with Log
Excitation Wavelength Changed: 3/3/2026 4:10:14 pm, Old: 350.00, New: 280.00
Emission Wavelength Changed: 3/3/2026 4:10:14 pm, Old: 400.00, New: 300.00
Stop Wavelength Changed: 3/3/2026 4:10:14 pm, Old: 600.00, New: 400.00
Zero Mode Changed: 3/3/2026 4:10:22 pm, Old:OFF, New:Reading
Zero Mode Changed: 3/3/2026 4:10:22 pm, Old:Reading, New:ON
End Method Modifications

