BSA+HCI,,
Wavelength (nm),Intensity (a.u.),
300,31.49158859,
301.0700073,33.55469131,
302,36.14034653,
303.0700073,39.86849213,
304,43.00453949,
305.0700073,44.69768524,
306,48.18110275,
307.0700073,50.88882446,
308,53.02707291,
309.0700073,55.34073639,
310,57.58881378,
311.0700073,58.64774704,
312,61.17720795,
313.0700073,62.74114227,
314,66.04496765,
315.0700073,67.94446564,
316,68.893013,
317.0700073,72.12111664,
318,73.61319733,
319.0700073,74.08005524,
320,78.10751343,
321.0700073,80.43560028,
322,78.3780899,
323.0700073,80.43945313,
324,82.81098175,
325.0700073,81.90331268,
326,81.89411926,
327.0700073,80.98665619,
328,81.86786652,
329.0700073,82.24160767,
330,80.47718048,
331.0700073,80.75276947,
332,82.48091125,
333.0700073,82.50225067,
334,79.14596558,
335.0700073,80.98252106,
336,79.58709717,
337.0700073,77.89798737,
338,77.39442444,
339.0700073,77.81004333,
340,75.89246368,
341.0700073,73.15672302,
342,73.91855621,
343.0700073,74.63904572,
344,71.22222137,
345.0700073,70.52203369,
346,67.82972717,
347.0700073,66.96755219,
348,64.54773712,
349.0700073,63.99311447,
350,64.27896118,
351.0700073,61.57865524,
352,61.2685051,
353.0700073,59.27100754,
354,56.81328964,
355.0700073,55.41241074,
356,53.93257904,
357.0700073,52.99909973,
358,51.581604,
359.0700073,48.95411682,
360,47.46774292,
361.0599976,47.06128693,
361.9599915,44.86933136,
363.0299988,43.06357574,
363.9299927,43.59361649,
365,40.63685226,
366.0599976,38.53552628,
366.9599915,37.05722427,
368.0299988,36.79924011,
368.9299927,35.80407333,
370,33.90888596,
371.0700073,31.27278328,
372,33.36047363,
373.0700073,28.1276989,
374,28.57476997,
375.0700073,27.05907822,
376,27.76593971,
377.0700073,25.28431702,
378,23.83923531,
379.0700073,22.88522911,
380,21.50391579,
381.0599976,20.89125061,
381.9599915,19.97423553,
383.0299988,19.06851387,
383.9299927,18.46655273,
385,18.38655663,
386.0599976,15.06749725,
386.9599915,15.19394207,
388.0299988,15.55374622,
388.9299927,14.27485466,
390,13.61345482,
391.0599976,13.44740486,
391.9599915,12.7609911,
393.0299988,11.33898735,
393.9299927,11.48410702,
395,10.62055111,
396.0599976,10.21571445,
396.9599915,9.892653465,
398.0299988,8.7257061,
398.9299927,8.471179008,
400,8.980381966,

BSA+HCI,
BSA+HCI
Collection Time: 3/3/2026 4:20:06 pm
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          el02116112
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        300.00
Stop (nm)                         400.00
Ex. Wavelength (nm)               280.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 3/3/2026 3:52:07 pm
Method Modifications:
Autoconvert Changed: 3/3/2026 4:10:14 pm, Old:None, New:Ascii with Log
Excitation Wavelength Changed: 3/3/2026 4:10:14 pm, Old: 350.00, New: 280.00
Emission Wavelength Changed: 3/3/2026 4:10:14 pm, Old: 400.00, New: 300.00
Stop Wavelength Changed: 3/3/2026 4:10:14 pm, Old: 600.00, New: 400.00
Zero Mode Changed: 3/3/2026 4:10:22 pm, Old:OFF, New:Reading
Zero Mode Changed: 3/3/2026 4:10:22 pm, Old:Reading, New:ON
End Method Modifications

