LYZ+HCI,,
Wavelength (nm),Intensity (a.u.),
300,12.34960556,
301.0700073,15.33604527,
302,17.90330315,
303.0700073,21.04348183,
304,22.88088226,
305.0700073,27.92310524,
306,29.75496483,
307.0700073,31.7245388,
308,35.48709106,
309.0700073,38.65829086,
310,42.48203659,
311.0700073,46.46934128,
312,48.27762604,
313.0700073,50.70499802,
314,53.52641296,
315.0700073,59.62493134,
316,63.51040268,
317.0700073,64.47452545,
318,72.03665924,
319.0700073,72.98857117,
320,77.26521301,
321.0700073,78.04038239,
322,83.03830719,
323.0700073,86.74150085,
324,90.3752594,
325.0700073,93.9174118,
326,96.19367981,
327.0700073,98.52277374,
328,101.7372742,
329.0700073,104.7129974,
330,105.0505676,
331.0700073,107.1064453,
332,107.2318573,
333.0700073,108.7010498,
334,108.9998932,
335.0700073,114.9145432,
336,113.4123077,
337.0700073,113.6833572,
338,116.8612595,
339.0700073,116.4237213,
340,112.2333984,
341.0700073,116.0574951,
342,114.4703903,
343.0700073,117.930603,
344,115.2828979,
345.0700073,115.0681763,
346,113.3750305,
347.0700073,117.4018021,
348,113.0527191,
349.0700073,110.4972687,
350,113.9975052,
351.0700073,111.7845917,
352,112.4185638,
353.0700073,111.4983292,
354,108.38694,
355.0700073,105.0846329,
356,104.6917343,
357.0700073,99.99493408,
358,101.220726,
359.0700073,100.6017685,
360,97.48099518,
361.0599976,96.62958527,
361.9599915,93.04931641,
363.0299988,90.776474,
363.9299927,91.78800964,
365,88.69797516,
366.0599976,87.37540436,
366.9599915,82.13249207,
368.0299988,79.98201752,
368.9299927,79.02067566,
370,74.54975891,
371.0700073,73.21956635,
372,69.45718384,
373.0700073,70.25291443,
374,67.35367584,
375.0700073,63.99965286,
376,63.36428833,
377.0700073,61.34082413,
378,58.10507965,
379.0700073,58.81463623,
380,54.79507446,
381.0599976,53.18980026,
381.9599915,49.86903381,
383.0299988,48.78767395,
383.9299927,48.35081863,
385,46.49105453,
386.0599976,43.94327545,
386.9599915,43.46176147,
388.0299988,40.43845367,
388.9299927,39.63201523,
390,36.18701172,
391.0599976,36.86663437,
391.9599915,34.1525383,
393.0299988,33.45814514,
393.9299927,31.48170471,
395,30.51183128,
396.0599976,30.12120438,
396.9599915,29.21788597,
398.0299988,26.95751572,
398.9299927,28.26379395,
400,24.87419319,

LYZ+HCI,
LYZ+HCI
Collection Time: 3/3/2026 4:26:08 pm
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          el02116112
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        300.00
Stop (nm)                         400.00
Ex. Wavelength (nm)               280.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 3/3/2026 3:52:07 pm
Method Modifications:
Autoconvert Changed: 3/3/2026 4:10:14 pm, Old:None, New:Ascii with Log
Excitation Wavelength Changed: 3/3/2026 4:10:14 pm, Old: 350.00, New: 280.00
Emission Wavelength Changed: 3/3/2026 4:10:14 pm, Old: 400.00, New: 300.00
Stop Wavelength Changed: 3/3/2026 4:10:14 pm, Old: 600.00, New: 400.00
Zero Mode Changed: 3/3/2026 4:10:22 pm, Old:OFF, New:Reading
Zero Mode Changed: 3/3/2026 4:10:22 pm, Old:Reading, New:ON
End Method Modifications

