[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=Flat Sample Stage, Owner=User-1, Creation date=25/4/2018 11:29:14 AM"
Comment - 2,"Goniometer=PW3050/60 (Theta/Theta); Minimum step size 2Theta:0.001; Minimum step size Omega:0.001"
Comment - 3,"Sample stage=PW3071/xx Bracket"
Comment - 4,"Diffractometer system=XPERT-3"
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\Programs\Sample Run.xrdmp, Identifier={0DFC5F1D-C751-41BD-A630-BFBEA311671F}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,1.52mm
Receiving slit,0.10
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,08/Oct/2025 15:06
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,20.0000,140.0000
Scan step size,0.0200000
No. of points, 6000
Scan type,CONTINUOUS
Time per step,0.40
[Scan points]
Angle,Intensity
20.0100,73.0
20.0300,80.0
20.0500,75.0
20.0700,49.0
20.0900,66.0
20.1100,76.0
20.1300,78.0
20.1500,55.0
20.1700,61.0
20.1900,57.0
20.2100,66.0
20.2300,74.0
20.2500,59.0
20.2700,59.0
20.2900,60.0
20.3100,61.0
20.3300,77.0
20.3500,59.0
20.3700,71.0
20.3900,56.0
20.4100,56.0
20.4300,67.0
20.4500,75.0
20.4700,76.0
20.4900,64.0
20.5100,56.0
20.5300,72.0
20.5500,82.0
20.5700,67.0
20.5900,59.0
20.6100,68.0
20.6300,60.0
20.6500,65.0
20.6700,48.0
20.6900,61.0
20.7100,71.0
20.7300,50.0
20.7500,68.0
20.7700,54.0
20.7900,44.0
20.8100,50.0
20.8300,59.0
20.8500,64.0
20.8700,68.0
20.8900,68.0
20.9100,54.0
20.9300,66.0
20.9500,57.0
20.9700,68.0
20.9900,66.0
21.0100,58.0
21.0300,77.0
21.0500,53.0
21.0700,69.0
21.0900,69.0
21.1100,55.0
21.1300,73.0
21.1500,73.0
21.1700,66.0
21.1900,72.0
21.2100,57.0
21.2300,47.0
21.2500,74.0
21.2700,67.0
21.2900,72.0
21.3100,64.0
