17/8/2023
5:01 pm
Raman shift	Intensity
cm-1	Counts
-115.378234	11343.682985
-112.711569	11142.039485
-110.045656	10941.351289
-107.382675	10741.623649
-104.718265	10542.861818
-102.056785	10345.071050
-99.393875	10148.256598
-96.736073	9952.423715
-94.076840	9757.577655
-91.418357	9563.723670
-88.762797	9371.188162
-86.105809	9179.970529
-83.453918	8988.033407
-80.800598	8799.594843
-78.150198	8609.657553
-75.498368	8422.429317
-72.851629	8233.987386
-70.203460	8048.655657
-67.556035	7861.415532
-64.911523	7678.239453
-62.265583	7492.397642
-59.624724	7309.028446
-56.982436	7125.575868
-54.343056	6941.908919
-51.702248	6760.067124
-49.062180	6580.153131
-46.427184	6401.018431
-43.790760	6223.604410
-41.157238	6045.042192
-38.522288	5867.075192
-35.892403	5680.630445
-33.258926	5457.458852
-30.630511	5139.684476
-28.002829	4693.622421
-25.373720	4445.556212
-22.749667	4654.899777
-20.122025	5092.434975
-17.499436	5481.755204
-14.877579	5793.092044
-12.256452	6025.118332
-9.636055	6173.509126
-7.018546	6243.057595
-4.399609	6229.835693
-1.783558	6133.812692
0.831765	5958.436192
3.446361	5704.746991
6.058074	5366.075461
8.671216	4949.526311
11.279324	4450.598038
13.891014	3876.361027
16.497673	3226.458430
19.105760	2520.916435
21.713123	1823.252009
24.315461	1300.427690
26.921377	1209.376237
29.522271	1381.057768
32.124593	1419.001281
34.721898	1285.670460
37.322778	1135.280833
39.918644	986.225145
42.515937	835.887020
45.112511	686.593036
47.704076	537.158070
50.297069	389.334461
52.887201	243.056959
55.478761	98.789869
58.067461	0.000000
60.657588	0.000000
63.242717	0.000000
65.829272	0.000000
68.415114	0.000000
70.998102	0.000000
73.582516	0.000000
76.159802	0.000000
78.740654	0.000000
81.318657	0.000000
83.895950	0.000000
86.474669	0.000000
89.048407	0.000000
91.623571	0.000000
94.195892	0.000000
96.767505	0.000000
99.336278	0.000000
101.906478	0.000000
104.473840	0.000000
107.042627	0.000000
109.608578	0.000000
112.171694	0.000000
114.738366	0.000000
117.295817	0.000000
