Raman shift (cm-1) - Current Spectrum	Intensity (Counts) - Current Spectrum	
-118.05	-10	
-115.38	-5	
-112.71	-0	
-110.05	3	
-107.38	6	
-104.72	8	
-102.06	9	
-99.39	10	
-96.74	10	
-94.08	10	
-91.42	10	
-88.76	9	
-86.11	10	
-83.45	8	
-80.8	7	
-78.15	6	
-75.5	5	
-72.85	3	
-70.2	1	
-67.56	0	
-64.91	1	
-62.27	-1	
-59.62	-1	
-56.98	-0	
-54.34	0	
-51.7	-0	
-49.06	0	
-46.43	-2	
-43.79	-1	
-41.16	2	
-38.52	3	
-35.89	0	
-33.26	-17	
-30.63	-76	
-28	-191	
-25.37	-248	
-22.75	-112	
-20.12	157	
-17.5	410	
-14.88	629	
-12.26	811	
-9.64	957	
-7.02	1068	
-4.4	1142	
-1.78	1176	
0.83	1176	
3.45	1139	
6.06	1065	
8.67	956	
11.28	810	
13.89	631	
16.5	416	
19.11	174	
21.71	-71	
24.32	-251	
26.92	-255	
29.52	-118	
32.12	-13	
34.72	1	
37.32	4	
39.92	3	
42.52	5	
45.11	5	
47.7	4	
50.3	4	
52.89	5	
55.48	4	
58.07	5	
60.66	3	
63.24	5	
65.83	5	
68.42	3	
71	3	
73.58	3	
76.16	2	
78.74	-1	
81.32	-1	
83.9	0	
86.47	-0	
89.05	-1	
91.62	-1	
94.2	-0	
96.77	-1	
99.34	2	
101.91	2	
104.47	3	
107.04	2	
109.61	3	
112.17	3	
114.74	4	
117.3	7	
119.86	13	
122.42	24	
124.98	35	
127.54	52	
130.09	71	
132.65	95	
135.2	122	
137.76	145	
140.31	168	
142.86	191	
145.41	212	
147.95	228	
150.5	243	
153.05	254	
155.59	258	
158.14	261	
160.68	260	
163.22	256	
165.76	252	
168.3	250	
170.84	247	
173.37	246	
175.91	244	
178.45	245	
180.98	245	
183.51	246	
186.04	244	
188.57	244	
191.1	242	
193.63	242	
196.15	241	
198.68	237	
201.2	240	
203.73	237	
206.25	232	
208.77	230	
211.29	230	
213.81	232	
216.33	234	
218.84	234	
221.36	237	
223.87	238	
226.38	241	
228.89	242	
231.4	243	
233.91	245	
236.42	247	
238.93	251	
241.44	251	
243.94	251	
246.44	251	
248.95	254	
251.45	257	
253.95	254	
256.45	256	
258.94	259	
261.44	261	
263.94	263	
266.43	265	
268.93	266	
271.42	269	
273.91	269	
276.4	270	
278.89	270	
281.38	271	
283.86	272	
286.35	274	
288.83	274	
291.32	269	
293.8	269	
296.28	270	
298.76	273	
301.24	278	
303.72	288	
306.19	298	
308.67	306	
311.14	313	
313.61	321	
316.09	326	
318.56	327	
321.03	330	
323.49	330	
325.96	330	
328.43	329	
330.9	329	
333.36	324	
335.82	318	
338.28	312	
340.75	305	
343.2	303	
345.66	300	
348.12	300	
350.58	304	
353.03	306	
355.49	307	
357.94	310	
360.39	307	
362.84	306	
365.29	302	
367.74	303	
370.19	306	
372.63	302	
375.08	301	
377.53	298	
379.97	298	
382.41	294	
384.85	296	
387.29	297	
389.73	294	
392.17	294	
394.6	292	
397.04	291	
399.47	290	
401.91	291	
404.34	293	
406.77	295	
409.2	294	
411.63	299	
414.06	301	
416.48	302	
418.91	302	
421.33	302	
423.76	302	
426.18	299	
428.6	301	
431.02	302	
433.44	303	
435.86	302	
438.27	300	
440.69	299	
443.1	296	
445.52	294	
447.93	294	
450.34	296	
452.75	295	
455.16	294	
457.57	292	
459.97	292	
462.38	287	
464.78	286	
467.19	288	
469.59	287	
471.99	287	
474.39	285	
476.79	289	
479.19	291	
481.59	291	
