Raman shift (cm-1) - Current Spectrum	Intensity (Counts) - Current Spectrum	
-118.05	-5	
-115.38	-5	
-112.71	-4	
-110.05	-4	
-107.38	-3	
-104.72	-2	
-102.06	-1	
-99.39	-1	
-96.74	0	
-94.08	2	
-91.42	3	
-88.76	7	
-86.11	7	
-83.45	12	
-80.8	11	
-78.15	11	
-75.5	12	
-72.85	10	
-70.2	10	
-67.56	12	
-64.91	10	
-62.27	10	
-59.62	10	
-56.98	9	
-54.34	9	
-51.7	9	
-49.06	8	
-46.43	8	
-43.79	9	
-41.16	8	
-38.52	4	
-35.89	-14	
-33.26	-110	
-30.63	-431	
-28	-1220	
-25.37	-2058	
-22.75	-1600	
-20.12	529	
-17.5	2618	
-14.88	4439	
-12.26	5971	
-9.64	7220	
-7.02	8182	
-4.4	8855	
-1.78	9240	
0.83	9337	
3.45	9144	
6.06	8666	
8.67	7895	
11.28	6840	
13.89	5499	
16.5	3884	
19.11	2023	
21.71	47	
24.32	-1661	
26.92	-2252	
29.52	-1335	
32.12	-133	
34.72	9	
37.32	15	
39.92	10	
42.52	9	
45.11	9	
47.7	9	
50.3	9	
52.89	9	
55.48	11	
58.07	12	
60.66	8	
63.24	11	
65.83	9	
68.42	13	
71	14	
73.58	14	
76.16	11	
78.74	10	
81.32	9	
83.9	7	
86.47	3	
89.05	1	
91.62	-3	
94.2	-1	
96.77	-0	
99.34	0	
101.91	-1	
104.47	1	
107.04	1	
109.61	-1	
112.17	-4	
114.74	-1	
117.3	5	
119.86	19	
122.42	34	
124.98	56	
127.54	81	
130.09	113	
132.65	144	
135.2	178	
137.76	210	
140.31	242	
142.86	272	
145.41	305	
147.95	325	
150.5	346	
153.05	358	
155.59	368	
158.14	368	
160.68	367	
163.22	359	
165.76	356	
168.3	352	
170.84	348	
173.37	346	
175.91	346	
178.45	345	
180.98	345	
183.51	344	
186.04	348	
188.57	349	
191.1	349	
193.63	348	
196.15	349	
198.68	348	
201.2	352	
203.73	351	
206.25	350	
208.77	348	
211.29	347	
213.81	343	
216.33	344	
218.84	343	
221.36	344	
223.87	345	
226.38	347	
228.89	348	
231.4	349	
233.91	351	
236.42	355	
238.93	357	
241.44	361	
243.94	363	
246.44	366	
248.95	368	
251.45	369	
253.95	366	
256.45	363	
258.94	363	
261.44	362	
263.94	361	
266.43	364	
268.93	366	
271.42	369	
273.91	371	
276.4	374	
278.89	377	
281.38	381	
283.86	385	
286.35	391	
288.83	398	
291.32	403	
293.8	402	
296.28	404	
298.76	410	
301.24	419	
303.72	427	
306.19	442	
308.67	456	
311.14	465	
313.61	474	
316.09	480	
318.56	485	
321.03	488	
323.49	489	
325.96	487	
328.43	486	
330.9	484	
333.36	478	
335.82	471	
338.28	461	
340.75	451	
343.2	440	
345.66	436	
348.12	434	
350.58	435	
353.03	437	
355.49	441	
357.94	440	
360.39	438	
362.84	438	
365.29	439	
367.74	438	
370.19	439	
372.63	440	
