Raman shift (cm-1) - Current Spectrum	Intensity (Counts) - Current Spectrum	
102.32	10	
104.89	11	
107.46	10	
110.02	6	
112.59	6	
115.15	7	
117.71	13	
120.27	23	
122.83	38	
125.39	60	
127.95	96	
130.51	155	
133.06	230	
135.61	313	
138.17	410	
140.72	500	
143.27	588	
145.82	663	
148.37	719	
150.91	751	
153.46	769	
156.01	776	
158.55	776	
161.09	770	
163.63	765	
166.18	755	
168.71	751	
171.25	748	
173.79	747	
176.32	746	
178.86	744	
181.39	741	
183.92	736	
186.46	734	
188.99	729	
191.52	725	
194.04	723	
196.57	725	
199.09	725	
201.62	725	
204.14	723	
206.66	717	
209.18	709	
211.7	707	
214.22	704	
216.74	708	
219.25	718	
221.77	723	
224.29	724	
226.8	727	
229.31	735	
231.82	737	
234.33	740	
236.84	746	
239.34	754	
241.85	763	
244.35	769	
246.86	764	
249.36	761	
251.86	764	
254.36	768	
256.86	769	
259.36	772	
261.86	772	
264.35	779	
266.84	781	
269.34	783	
271.83	784	
274.32	783	
276.81	788	
279.3	791	
281.79	792	
284.27	794	
286.76	796	
289.24	797	
291.73	799	
294.21	804	
296.69	804	
299.17	811	
301.65	817	
304.13	824	
306.61	830	
309.08	851	
311.56	894	
314.03	956	
316.5	1017	
318.97	1060	
321.44	1078	
323.91	1081	
326.38	1053	
328.84	1005	
331.31	957	
333.77	916	
336.24	898	
338.7	897	
341.16	891	
343.62	888	
346.08	884	
348.54	881	
350.99	876	
353.45	871	
355.9	876	
358.36	874	
360.81	880	
363.26	886	
365.71	885	
368.16	887	
370.6	882	
373.05	882	
375.49	881	
377.94	878	
380.38	877	
382.82	875	
385.27	880	
387.7	885	
390.14	883	
392.58	885	
395.02	882	
397.45	889	
399.89	888	
402.32	884	
404.75	883	
407.19	886	
409.61	885	
412.04	883	
414.47	884	
416.9	886	
419.32	889	
421.75	894	
424.17	892	
426.59	889	
429.01	889	
431.43	889	
433.85	892	
436.27	895	
438.69	900	
441.1	902	
443.52	907	
445.93	909	
448.34	906	
450.75	900	
453.17	890	
455.57	886	
457.98	883	
460.39	877	
462.8	867	
465.2	856	
467.6	848	
470	839	
472.41	833	
474.81	827	
477.21	827	
479.61	835	
482	836	
484.4	840	
486.79	839	
489.19	830	
491.58	819	
493.97	795	
496.36	771	
498.75	742	
501.14	716	
503.53	685	
505.91	654	
508.3	630	
510.68	607	
513.07	586	
515.45	565	
517.83	546	
520.21	536	
522.59	528	
524.97	523	
527.34	512	
529.72	509	
532.09	505	
534.47	500	
536.84	490	
539.21	477	
541.58	468	
543.95	465	
546.32	461	
548.68	461	
551.05	455	
553.41	454	
555.78	447	
558.14	443	
560.5	439	
562.87	440	
565.22	435	
567.58	432	
569.94	430	
572.29	429	
574.65	428	
577.01	423	
579.36	416	
581.71	414	
584.06	414	
586.41	419	
588.76	417	
591.11	422	
593.45	428	
595.8	430	
598.15	432	
600.49	429	
602.83	419	
605.17	413	
607.51	407	
609.85	404	
612.19	397	
614.53	396	
616.87	393	
619.2	383	
621.53	377	
623.87	372	
626.2	367	
628.53	367	
630.86	369	
633.19	372	
635.52	374	
637.85	375	
640.17	374	
642.5	367	
644.82	367	
647.14	364	
649.46	361	
651.78	359	
654.1	357	
656.42	356	
658.74	354	
661.06	350	
663.37	346	
665.68	342	
668	342	
670.31	337	
672.62	338	
674.93	340	
677.24	337	
679.55	338	
681.86	335	
684.16	334	
686.47	327	
688.77	323	
691.07	321	
693.37	315	
695.68	312	
697.98	310	
700.27	309	
702.57	310	
704.87	311	
707.16	314	
709.46	306	
711.75	307	
714.04	306	
716.34	304	
718.63	302	
720.91	302	
723.2	304	
725.49	307	
727.78	309	
730.06	308	
732.35	308	
734.63	310	
736.91	310	
739.19	316	
741.47	320	
743.75	324	
746.03	330	
748.31	335	
750.58	332	
752.86	332	
755.13	339	
757.4	338	
759.68	340	
761.95	342	
764.22	343	
766.49	343	
768.75	346	
771.02	348	
773.29	345	
775.55	348	
777.81	349	
780.08	356	
782.34	358	
784.6	359	
786.86	357	
789.12	358	
791.37	362	
793.63	365	
795.89	356	
798.14	354	
800.4	343	
802.65	337	
804.9	331	
807.15	325	
809.4	324	
811.65	331	
813.9	334	
816.14	342	
818.39	341	
820.63	345	
822.88	336	
825.12	331	
