Raman shift (cm-1) - Current Spectrum	Intensity (Counts) - Current Spectrum	
102.32	34	
104.89	51	
107.46	77	
110.02	23	
112.59	124	
115.15	48	
117.71	0	
120.27	57	
122.83	92	
125.39	69	
127.95	103	
130.51	53	
133.06	138	
135.61	159	
138.17	175	
140.72	261	
143.27	225	
145.82	320	
148.37	296	
150.91	278	
153.46	391	
156.01	328	
158.55	277	
161.09	297	
163.63	192	
166.18	285	
168.71	287	
171.25	315	
173.79	275	
176.32	281	
178.86	286	
181.39	281	
183.92	292	
186.46	281	
188.99	221	
191.52	260	
194.04	288	
196.57	281	
199.09	250	
201.62	231	
204.14	377	
206.66	263	
209.18	195	
211.7	314	
214.22	279	
216.74	266	
219.25	290	
221.77	316	
224.29	266	
226.8	269	
229.31	244	
231.82	286	
234.33	249	
236.84	304	
239.34	315	
241.85	291	
244.35	308	
246.86	318	
249.36	347	
251.86	314	
254.36	288	
256.86	329	
259.36	304	
261.86	261	
264.35	336	
266.84	287	
269.34	336	
271.83	317	
274.32	354	
276.81	315	
279.3	286	
281.79	337	
284.27	354	
286.76	298	
289.24	308	
291.73	350	
294.21	241	
296.69	366	
299.17	290	
301.65	353	
304.13	336	
306.61	320	
309.08	336	
311.56	356	
314.03	392	
316.5	419	
318.97	433	
321.44	419	
323.91	345	
326.38	397	
328.84	365	
331.31	339	
333.77	425	
336.24	383	
338.7	385	
341.16	418	
343.62	341	
346.08	370	
348.54	369	
350.99	372	
353.45	362	
355.9	290	
358.36	340	
360.81	336	
363.26	333	
365.71	386	
368.16	274	
370.6	335	
373.05	299	
375.49	327	
377.94	374	
380.38	366	
382.82	368	
385.27	334	
387.7	344	
390.14	380	
392.58	352	
395.02	377	
397.45	336	
399.89	423	
402.32	357	
404.75	343	
407.19	330	
409.61	365	
412.04	394	
414.47	356	
416.9	345	
419.32	412	
421.75	352	
424.17	436	
426.59	377	
429.01	335	
431.43	325	
433.85	371	
436.27	449	
438.69	390	
441.1	388	
443.52	394	
445.93	392	
448.34	381	
450.75	370	
453.17	313	
455.57	366	
457.98	373	
460.39	415	
462.8	426	
465.2	375	
467.6	400	
470	304	
472.41	352	
474.81	378	
477.21	339	
479.61	265	
482	341	
484.4	383	
486.79	370	
489.19	340	
491.58	385	
493.97	375	
