Raman shift (cm-1) - Current Spectrum	Intensity (Counts) - Current Spectrum	
102.32	51	
104.89	33	
107.46	44	
110.02	68	
112.59	88	
115.15	63	
117.71	28	
120.27	86	
122.83	51	
125.39	58	
127.95	16	
130.51	96	
133.06	104	
135.61	117	
138.17	186	
140.72	268	
143.27	267	
145.82	248	
148.37	251	
150.91	249	
153.46	297	
156.01	273	
158.55	265	
161.09	267	
163.63	336	
166.18	295	
168.71	263	
171.25	285	
173.79	278	
176.32	326	
178.86	254	
181.39	266	
183.92	312	
186.46	267	
188.99	300	
191.52	307	
194.04	296	
196.57	240	
199.09	204	
201.62	274	
204.14	263	
206.66	236	
209.18	341	
211.7	310	
214.22	274	
216.74	324	
219.25	311	
221.77	284	
224.29	244	
226.8	285	
229.31	229	
231.82	313	
234.33	281	
236.84	288	
239.34	356	
241.85	273	
244.35	264	
246.86	309	
249.36	329	
251.86	280	
254.36	357	
256.86	262	
259.36	295	
261.86	272	
264.35	307	
266.84	301	
269.34	264	
271.83	291	
274.32	283	
276.81	306	
279.3	366	
281.79	268	
284.27	237	
286.76	295	
289.24	306	
291.73	361	
294.21	301	
296.69	330	
299.17	350	
301.65	279	
304.13	290	
306.61	392	
309.08	320	
311.56	341	
314.03	367	
316.5	415	
318.97	445	
321.44	456	
323.91	418	
326.38	444	
328.84	398	
331.31	394	
333.77	359	
336.24	353	
338.7	403	
341.16	425	
343.62	368	
346.08	410	
348.54	388	
350.99	348	
353.45	371	
355.9	328	
358.36	346	
360.81	386	
363.26	319	
365.71	291	
368.16	341	
370.6	337	
373.05	348	
375.49	381	
377.94	347	
380.38	341	
382.82	336	
385.27	352	
387.7	321	
390.14	341	
392.58	319	
395.02	292	
397.45	341	
399.89	387	
402.32	299	
404.75	376	
407.19	361	
409.61	384	
412.04	344	
414.47	367	
416.9	351	
419.32	359	
421.75	335	
424.17	380	
426.59	295	
429.01	366	
431.43	290	
433.85	351	
436.27	307	
438.69	415	
441.1	388	
443.52	321	
445.93	349	
448.34	351	
450.75	302	
453.17	350	
455.57	339	
457.98	417	
460.39	426	
462.8	357	
465.2	318	
467.6	426	
470	351	
472.41	347	
474.81	316	
477.21	381	
479.61	282	
482	391	
484.4	336	
486.79	306	
489.19	385	
491.58	243	
493.97	355	
