# shift_cm-1 intensity_mean intensity_std
-118.067271 -18.835470 0.732759
-116.388163 -11.954967 2.797026
-114.709055 -6.248984 5.028682
-113.029947 -2.232409 6.771713
-111.350839 -0.129834 7.902329
-109.671731 1.139488 8.767574
-107.992623 1.040295 9.173640
-106.313515 0.133861 9.263582
-104.634407 -1.253801 9.191166
-102.955299 -3.302644 8.725656
-101.276191 -4.305260 7.489986
-99.597083 -4.158277 5.376729
-97.917975 -5.722516 4.078204
-96.238867 -7.437737 3.012183
-94.559759 -9.019491 1.909654
-92.880651 -11.418032 0.545086
-91.201543 -13.361737 1.119667
-89.522435 -10.625704 1.959284
-87.843327 -9.241933 2.897976
-86.164219 -8.924235 4.024710
-84.485111 -8.507426 4.598143
-82.806003 -8.482530 4.373398
-81.126895 -9.055374 2.950267
-79.447787 -6.639293 2.257797
-77.768679 -4.779280 1.675992
-76.089571 -6.822506 2.092120
-74.410463 -7.903481 2.765558
-72.731355 -8.341401 3.021961
-71.052247 -7.168359 3.080641
-69.373139 -6.451299 2.906224
-67.694031 -6.179270 1.896848
-66.014923 -8.340301 2.478695
-64.335815 -10.036461 3.454477
-62.656707 -10.549267 4.680986
-60.977599 -10.890893 4.991208
-59.298491 -10.719895 4.921087
-57.619383 -8.759156 4.407499
-55.940275 -8.024322 3.185588
-54.261167 -7.991543 3.122414
-52.582059 -7.787009 2.633266
-50.902951 -7.794013 2.801980
-49.223843 -8.023313 3.156313
-47.544735 -5.348509 4.071908
-45.865627 -3.618667 5.723473
-44.186519 -4.182810 6.669840
-42.507411 -3.017355 5.684307
-40.828303 -1.721991 4.087263
-39.149195 -1.838844 2.016073
-37.470087 -1.298862 1.842985
-35.790979 -0.378363 2.319407
-34.111871 0.647645 1.295818
-32.432763 1.698645 1.798622
-30.753655 2.774280 3.539184
-29.074547 3.033574 2.475099
-27.395439 3.437121 2.655337
-25.716331 4.173044 2.617093
-24.037223 -4.232085 3.627735
-22.358115 -21.151524 4.566609
-20.679007 -57.619671 4.476642
-18.999899 -130.729659 3.180662
-17.320791 -215.722169 1.531558
-15.641683 -260.552539 3.435716
-13.962575 -131.578750 5.417324
-12.283467 135.901612 6.736971
-10.604359 654.732227 3.909735
-8.925251 1149.295039 0.856945
-7.246143 1610.843947 2.755949
-5.567035 1957.023609 4.407861
-3.887927 2243.082514 5.784746
-2.208819 2434.481990 7.172790
-0.529711 2522.572629 8.984988
1.149397 2550.008087 10.937858
2.828505 2467.042786 12.004821
4.507613 2296.399854 12.303969
6.186721 2065.361487 12.212644
7.865829 1711.858050 13.141535
9.544937 1303.208023 13.608889
11.224045 846.030790 13.687963
12.903153 367.433416 12.600769
14.582261 -33.094980 10.078268
16.261369 -326.605150 5.505545
17.940477 -322.637291 4.434112
19.619585 -242.022479 5.157107
21.298693 -91.513591 6.216543
22.977801 -31.812541 5.613807
24.656909 -6.829829 4.579290
26.336017 -6.634573 3.879938
28.015125 -8.725064 3.754925
29.694233 -11.485513 4.951897
31.373341 -10.421152 5.947663
33.052449 -9.474654 5.432055
34.731557 -8.651444 3.802027
36.410665 -9.656200 4.359962
38.089773 -11.328744 3.929591
39.768881 -13.759292 2.298557
41.447989 -11.846737 2.175828
43.127097 -10.000610 1.734562
44.806205 -8.872593 2.305479
46.485313 -5.930331 2.564966
48.164421 -3.379904 2.651760
49.843529 -2.743418 3.025848
51.522637 -1.889043 3.716064
53.201745 -0.974619 4.369883
54.880853 -0.124326 3.706394
56.559961 0.315618 3.698071
58.239069 0.332929 4.014371
59.918177 -1.261811 2.640633
61.597285 -1.066059 2.011917
63.276393 0.385290 2.476689
64.955501 -0.870675 1.468310
66.634609 -1.987529 2.264199
68.313717 -2.960288 4.854999
69.992825 -4.554806 4.240302
71.671933 -5.346095 4.204825
73.351041 -4.949810 5.164732
75.030149 -7.938759 2.712850
76.709257 -10.334795 0.908835
78.388365 -10.618896 1.278379
80.067473 -11.703401 0.771273
81.746581 -12.748658 1.708920
83.425689 -13.140976 4.174982
85.104797 -13.015738 4.373753
86.783905 -12.604966 3.829978
88.463013 -11.801504 3.655498
90.142121 -9.267600 3.330911
91.821229 -5.875440 3.130965
93.500337 -2.628378 1.755797
95.179445 -1.028762 0.696962
96.858553 -0.523181 1.489904
98.537661 0.216823 1.224295
100.216769 0.369504 1.462578
101.895877 0.008967 2.736119
103.574985 -1.240127 3.636424
105.254093 -3.468297 3.442604
106.933201 -6.773154 1.963426
108.612309 -5.697697 3.243943
110.291417 -5.951966 4.141519
111.970525 -8.400844 4.133464
113.649633 -7.100658 3.109248
115.328741 -7.080829 2.267184
117.007849 -10.103943 1.907963
118.686957 -8.719188 2.271541
120.366065 -6.173621 3.499784
122.045173 -2.923906 3.879511
123.724281 2.048007 4.165107
125.403389 7.552531 4.689798
127.082497 13.265615 5.309965
128.761605 21.537206 3.918817
130.440713 31.728564 1.994520
132.119821 45.606882 1.388970
133.798929 61.071959 1.356763
135.478037 77.305305 1.630165
137.157145 93.911102 1.824170
138.836253 113.166841 1.822238
140.515361 133.139873 2.034254
142.194469 148.796168 2.310517
143.873577 165.399401 2.321420
145.552685 181.991892 2.146617
147.231793 193.088245 1.401108
148.910901 204.573661 0.944179
150.590009 215.964820 0.803107
152.269117 221.972811 2.663193
153.948225 225.889722 3.645899
155.627333 227.997470 4.043324
157.306441 227.512974 4.648047
158.985549 226.445335 4.630929
160.664657 224.835552 3.933284
162.343765 224.015465 5.633278
164.022873 221.461626 6.522382
165.701981 217.105847 6.580250
167.381089 213.705071 4.460497
169.060197 211.618405 3.165180
170.739305 211.022254 3.252647
172.418413 209.157731 3.208691
174.097521 209.192333 3.370739
175.776629 211.688860 3.845868
177.455737 212.603988 3.490160
179.134845 214.031822 4.771305
180.813953 216.320160 4.987117
182.493061 216.038940 4.082685
184.172169 214.200092 3.332041
185.851277 210.437481 3.138097
187.530385 209.117723 2.207447
189.209493 208.456331 1.315678
190.888601 208.391325 0.959108
192.567709 209.965526 2.009025
194.246817 210.131189 2.294052
195.925925 207.655495 1.257994
197.605033 206.787581 0.957696
199.284141 208.048416 2.815772
200.963249 212.525385 4.126469
202.642357 215.336999 4.352504
204.321465 217.524604 4.123595
