# shift_cm-1 intensity_mean intensity_std
-118.385087 6.448901 4.002898
-116.705979 4.527491 4.727908
-115.026871 2.835013 5.156968
-113.347763 1.471827 5.187405
-111.668655 0.510276 4.986038
-109.989547 -0.266586 5.050511
-108.310439 -0.724119 5.541337
-106.631331 -0.957021 6.554361
-104.952223 -1.051160 7.951999
-103.273115 -0.887317 9.474956
-101.594007 -0.493078 10.874036
-99.914899 0.154320 12.053194
-98.235791 0.587771 12.064829
-96.556683 0.930190 12.127754
-94.877575 1.126948 12.634857
-93.198467 1.598295 12.093230
-91.519359 1.935428 11.323032
-89.840251 0.813473 10.868544
-88.161143 1.065363 10.012495
-86.482035 2.400343 9.103542
-84.802927 2.292582 7.834412
-83.123819 2.109553 6.858193
-81.444711 1.864385 6.021216
-79.765603 1.443903 5.044354
-78.086495 1.132621 4.310592
-76.407387 1.294416 4.474562
-74.728279 1.174727 4.059019
-73.049171 1.009778 3.458944
-71.370063 1.947571 2.743558
-69.690955 1.959608 2.136343
-68.011847 1.068121 1.891713
-66.332739 0.907621 2.363294
-64.653631 0.682946 3.053967
-62.974523 0.240236 3.639084
-61.295415 0.310909 3.841575
-59.616307 0.548531 4.231039
-57.937199 0.867157 5.522319
-56.258091 1.654037 6.089790
-54.578983 2.602769 6.319916
-52.899875 1.830523 6.735255
-51.220767 1.611007 7.262134
-49.541659 1.972331 7.909292
-47.862551 1.975365 8.448573
-46.183443 2.277161 9.143304
-44.504335 3.206305 10.027075
-42.825227 3.799991 11.020838
-41.146119 4.141709 11.905397
-39.467011 3.891089 12.560227
-37.787903 2.970291 13.309321
-36.108795 1.802551 13.998208
-34.429687 2.349015 14.188847
-32.750579 2.616725 14.041740
-31.071471 2.609667 13.510178
-29.392363 1.958541 12.766898
-27.713255 0.483780 11.241173
-26.034147 -2.302477 8.426942
-24.355039 -16.738851 6.067723
-22.675931 -44.916312 31.714305
-20.996823 -106.924738 88.328034
-19.317715 -208.830419 175.559785
-17.638607 -304.845326 256.556002
-15.959499 -216.348470 180.939843
-14.280391 53.168686 55.036342
-12.601283 466.943391 416.920236
-10.922175 1046.152601 922.731540
-9.243067 1573.494352 1383.316741
-7.563959 2032.465424 1784.163699
-5.884851 2359.423605 2069.378869
-4.205743 2619.386009 2295.948041
-2.526635 2774.919777 2431.118348
-0.847527 2814.276590 2464.937372
0.831581 2786.066412 2439.656613
2.510689 2636.266090 2307.681392
4.189797 2390.468759 2092.188900
5.868905 2079.279773 1819.680459
7.548013 1641.599486 1435.766675
9.227121 1152.775281 1007.601894
10.906229 618.946091 540.572827
12.585337 131.842739 119.955701
14.264445 -215.417072 184.138990
15.943553 -373.505797 323.499769
17.622661 -299.802623 258.229454
19.301769 -183.379014 155.618128
20.980877 -49.028275 38.152302
22.659985 -7.578789 2.480301
