# shift_cm-1 intensity_mean intensity_std
-118.067271 231.457570 6.478856
-116.388163 231.902421 5.848145
-114.709055 232.294323 7.480862
-113.029947 232.610065 9.501531
-111.350839 232.787042 10.987863
-109.671731 232.885178 12.163322
-107.992623 232.823849 12.819630
-106.313515 232.602021 13.183980
-104.634407 232.275441 13.456999
-102.955299 231.679002 13.534644
-101.276191 229.547560 13.248346
-99.597083 225.729450 12.784967
-97.917975 225.907423 13.291672
-96.238867 226.011199 13.464791
-94.559759 224.843036 12.714127
-92.880651 224.188746 11.544732
-91.201543 224.090038 10.427618
-89.522435 226.187877 9.980604
-87.843327 227.603049 10.148005
-86.164219 228.480033 11.175134
-84.485111 224.925519 12.761355
-82.806003 221.934071 14.225446
-81.126895 219.955916 15.471095
-79.447787 218.879933 16.674986
-77.768679 217.725373 17.945081
-76.089571 215.677227 19.374087
-74.410463 215.717408 19.860022
-72.731355 216.813690 19.977026
-71.052247 217.665513 20.487492
-69.373139 218.652631 20.471011
-67.694031 219.771794 20.156124
-66.014923 221.872408 20.066009
-64.335815 223.876245 19.783692
-62.656707 225.568013 19.153796
-60.977599 228.817163 18.307200
-59.298491 232.679727 17.597853
-57.619383 237.200635 17.661493
-55.940275 238.636982 17.732287
-54.261167 238.226405 17.886256
-52.582059 236.995254 19.269065
-50.902951 236.093812 19.625067
-49.223843 235.538849 18.921970
-47.544735 235.613297 17.750854
-45.865627 235.667373 16.788801
-44.186519 235.572854 16.302959
-42.507411 236.725174 15.934685
-40.828303 238.004804 15.549845
-39.149195 238.394974 14.995091
-37.470087 239.556901 15.562403
-35.790979 240.922932 16.728050
-34.111871 239.280132 17.553696
-32.432763 237.958702 18.358209
-30.753655 236.954047 19.007107
-29.074547 239.860351 19.343567
-27.395439 241.890841 19.710283
-25.716331 242.018870 20.166642
-24.037223 233.271499 20.639187
-22.358115 218.076540 20.857149
-20.679007 189.514426 20.515655
-18.999899 135.310749 19.478151
-17.320791 80.528096 18.074903
-15.641683 111.693043 16.025199
-13.962575 242.842536 18.159671
-12.283467 453.670886 32.740006
-10.604359 766.357340 53.184163
-8.925251 1056.947779 73.481155
-7.246143 1318.226941 92.050757
-5.567035 1507.678375 106.102651
-3.887927 1660.228359 116.909042
-2.208819 1754.988016 122.113281
-0.529711 1787.333247 123.158124
1.149397 1783.586344 121.589800
2.828505 1715.341876 114.828683
4.507613 1593.433000 104.678198
6.186721 1434.873848 92.338890
7.865829 1204.621657 76.499512
9.544937 944.998903 57.817217
11.224045 659.531009 36.903252
12.903153 384.627233 21.518816
14.582261 180.552724 12.726103
16.261369 72.680536 12.640961
17.940477 99.956737 12.430639
19.619585 156.044346 13.171299
21.298693 230.971042 12.810183
22.977801 258.428870 13.695270
24.656909 268.689900 14.533350
26.336017 269.470423 14.576634
28.015125 271.078682 13.379827
29.694233 272.913431 11.683457
31.373341 273.237803 11.022283
33.052449 274.433100 10.916799
34.731557 276.302778 11.327058
36.410665 278.261124 13.742092
38.089773 279.690658 16.027380
39.768881 280.519939 18.091044
41.447989 281.276520 19.276968
43.127097 282.691664 19.999796
44.806205 285.211991 20.098595
46.485313 285.349133 20.195124
48.164421 285.770192 20.666158
49.843529 288.128463 21.962783
51.522637 290.400896 22.903271
53.201745 292.754404 23.609463
54.880853 295.554985 23.858770
56.559961 300.086352 23.368655
58.239069 305.468010 22.404082
59.918177 310.387225 20.737782
61.597285 314.025555 19.583319
63.276393 316.735770 18.722968
64.955501 320.467852 18.612602
66.634609 323.663888 18.778279
68.313717 326.304666 19.196624
69.992825 328.707516 19.923404
71.671933 331.337932 20.208589
73.351041 334.309311 19.857429
75.030149 337.361735 20.243882
76.709257 339.629047 20.815444
78.388365 340.341322 21.444982
80.067473 343.551661 22.052923
81.746581 346.633403 22.348451
83.425689 347.660516 21.830483
85.104797 350.635037 21.899617
86.783905 354.530922 22.269566
88.463013 359.275655 22.732685
90.142121 365.357758 23.555194
91.821229 372.200719 24.747080
93.500337 379.588521 26.902434
95.179445 387.710308 27.531420
96.858553 396.404033 27.035756
98.537661 406.193211 26.575958
100.216769 417.702966 25.967570
101.895877 430.732501 25.217899
103.574985 449.444515 23.587575
105.254093 467.600071 23.768417
106.933201 485.143695 25.859560
108.612309 506.002407 27.764319
110.291417 531.378177 30.212998
111.970525 562.775839 33.146127
113.649633 606.513772 40.871934
115.328741 660.488093 47.334355
117.007849 729.785567 50.671320
118.686957 837.701694 60.179231
120.366065 989.472736 74.960201
122.045173 1221.144972 98.717910
123.724281 1599.234358 136.629452
125.403389 2092.016312 182.749891
127.082497 2795.636019 241.253054
128.761605 3844.084403 329.373463
130.440713 5125.054629 439.069311
132.119821 6808.980094 589.243389
133.798929 8866.038454 760.770266
135.478037 11158.946289 943.074285
137.157145 13795.374974 1132.650508
138.836253 16587.244425 1331.594977
140.515361 19469.179558 1535.932262
142.194469 22403.472871 1742.722929
143.873577 25225.062685 1936.553932
145.552685 27936.911832 2118.635156
147.231793 30284.324245 2266.336736
148.910901 32338.167053 2398.888156
150.590009 34142.785676 2518.091004
152.269117 35402.448755 2602.466826
153.948225 36384.446745 2665.317707
155.627333 37125.036034 2709.640245
157.306441 37484.443802 2729.673045
158.985549 37728.165626 2748.883706
160.664657 37863.320501 2767.275017
162.343765 37862.304250 2771.046954
164.022873 37852.543897 2778.362169
165.701981 37833.695546 2789.387073
167.381089 37830.267989 2780.621007
169.060197 37826.144925 2767.806750
170.739305 37820.788824 2750.855696
172.418413 37852.326885 2744.962990
174.097521 37886.981543 2730.585771
175.776629 37923.292517 2704.800436
177.455737 37938.003734 2685.578755
179.134845 37957.912171 2667.786125
180.813953 37987.097747 2651.241364
182.493061 38014.035512 2638.055692
184.172169 38051.203861 2620.300917
185.851277 38103.688092 2595.376084
187.530385 38157.784635 2578.706926
189.209493 38211.982571 2560.902176
190.888601 38266.054982 2539.871334
192.567709 38309.583421 2530.294880
194.246817 38362.514453 2530.101065
195.925925 38432.993215 2542.724122
