# shift_cm-1 intensity_mean intensity_std
-116.707459 8.866667 26.463056
-115.028350 5.302481 10.372716
-113.349241 4.938762 3.811017
-111.670132 9.178514 16.223575
-109.991023 19.390177 14.002096
-108.311914 24.566167 12.607644
-106.632805 9.054948 8.918914
-104.953696 -0.131626 13.195970
-103.274587 -5.380665 19.093840
-101.595478 -2.899152 9.898948
-99.916369 4.048248 8.886361
-98.237260 15.902671 15.148300
-96.558151 4.334611 14.148619
-94.879042 -3.244547 14.741069
-93.199933 4.627234 15.082300
-91.520824 6.495154 12.461807
-89.841715 5.124999 9.513001
-88.162606 -2.041061 10.993453
-86.483497 1.655562 7.196608
-84.804388 13.915578 5.779867
-83.125279 9.169653 16.754525
-81.446170 7.944714 23.143798
-79.767061 12.669868 15.851442
-78.087952 11.738432 12.658503
-76.408843 10.106989 10.863088
-74.729734 10.275839 14.984857
-73.050625 13.847806 14.280679
-71.371516 18.093084 13.109945
-69.692407 10.399770 16.757384
-68.013298 5.187659 15.733363
-66.334189 2.396994 7.008727
-64.655080 4.088385 9.529558
-62.975971 3.675462 11.165128
-61.296862 -1.189791 6.365767
-59.617753 12.982013 6.099109
-57.938644 26.867362 11.029527
-56.259535 18.775641 4.823751
-54.580426 14.432421 11.824133
-52.901317 12.387205 19.515128
-51.222208 12.175262 8.622921
-49.543099 11.756533 8.195990
-47.863990 11.120523 16.051007
-46.184881 7.139290 7.453298
-44.505772 4.832880 10.743168
-42.826663 6.276495 5.272828
-41.147554 9.766147 8.497741
-39.468445 14.472155 11.277337
-37.789336 21.566817 14.577956
-36.110227 20.248471 8.807077
-34.431118 14.982606 8.395020
-32.752009 20.295952 17.575536
-31.072900 21.474805 17.260527
-29.393791 18.578778 16.468360
-27.714682 23.875987 13.466000
-26.035573 28.534777 14.150015
-24.356464 31.217151 16.575384
-22.677355 36.315219 20.775616
-20.998246 41.204868 24.945357
-19.319137 43.675736 12.647496
-17.640028 58.831680 11.442144
-15.960919 79.869893 15.415590
-14.281810 100.235483 9.736923
-12.602701 138.335516 16.268590
-10.923592 190.566237 27.052119
-9.244483 356.360548 59.459202
-7.565374 768.607202 157.621777
-5.886265 1500.377881 340.796463
-4.207156 3394.822433 702.038462
-2.528047 6362.375013 1178.539027
-0.848938 11293.525726 1882.307796
0.830171 17179.650710 3627.838541
2.509280 20600.274235 4955.657506
4.188389 12995.828443 2818.246872
5.867498 6575.086392 1364.941634
7.546607 1253.474074 296.814122
9.225716 517.653485 109.055050
10.904825 146.301798 16.736793
12.583934 95.613004 17.830118
14.263043 72.300671 18.095902
15.942152 54.728179 24.461185
17.621261 44.163932 19.373906
19.300370 38.501395 17.422355
20.979479 33.033256 20.093057
22.658588 26.421651 16.739988
24.337697 38.552483 5.777676
26.016806 46.579022 12.871110
27.695915 18.571492 13.838995
29.375024 15.211421 12.547071
31.054133 21.964687 11.338843
32.733242 9.963318 19.939613
34.412351 13.584750 22.016418
36.091460 28.827930 23.054593
37.770569 18.928843 20.970541
39.449678 16.110798 15.267701
41.128787 21.328640 15.822341
42.807896 11.675015 2.935952
44.487005 5.741086 14.578679
46.166114 8.069074 13.389037
47.845223 7.284701 8.533121
49.524332 7.438766 6.969010
51.203441 11.539956 13.794808
52.882550 9.010688 13.766469
54.561659 6.654494 21.969190
56.240768 14.299884 22.724688
57.919877 9.733112 18.035022
59.598986 0.157439 13.428505
61.278095 1.540421 13.902581
62.957204 5.398673 18.762038
64.636313 10.911385 19.546906
66.315422 10.218939 7.890659
67.994531 6.740465 2.667353
69.673640 0.376863 16.896503
71.352749 4.972456 11.145686
73.031858 13.401639 12.988117
74.710967 26.482384 10.071383
76.390076 16.482168 13.298135
78.069185 8.916013 17.463636
79.748294 12.602761 14.480806
81.427403 8.841944 13.614910
83.106512 7.928016 8.797717
84.785621 19.915634 14.104950
86.464730 27.134778 14.615786
88.143839 29.812966 8.639292
89.822948 21.027297 9.527485
91.502057 16.596804 12.863117
93.181166 14.114959 16.235395
94.860275 9.850258 9.057723
96.539384 10.863845 7.818888
98.218493 14.961091 10.400752
99.897602 12.346443 9.777660
101.576711 13.397894 2.789596
103.255820 17.571826 15.538317
104.934929 12.296055 5.066162
106.614038 12.584682 8.275833
108.293147 18.990534 11.849849
109.972256 15.328122 10.244765
111.651365 14.346516 12.653027
113.330474 17.884080 19.158064
115.009583 10.876353 11.797043
116.688692 10.990090 10.121432
118.367801 25.828249 8.869610
120.046910 26.585530 14.781578
121.726019 27.119635 19.671941
123.405128 33.026962 17.356684
125.084237 37.374096 11.702216
126.763346 43.485902 15.308662
128.442455 55.657290 13.325580
130.121564 72.660052 13.161270
131.800673 93.151324 10.698565
133.479782 120.114430 24.246261
135.158891 153.568840 26.419953
136.838000 192.058091 28.007645
138.517109 240.844065 43.578094
140.196218 279.457715 47.500862
141.875327 314.709956 52.654633
143.554436 362.638320 69.809640
145.233545 392.374915 74.788903
146.912654 414.551633 74.018858
148.591763 470.984782 75.471798
150.270872 489.358947 90.742893
151.949981 481.648556 110.246017
153.629090 492.633170 90.608922
155.308199 495.047762 84.311757
156.987308 490.964406 87.921136
158.666417 504.879715 90.429865
160.345526 502.603764 93.171186
162.024635 485.260095 97.485358
163.703744 483.409582 87.123290
165.382853 478.298381 87.989358
167.061962 469.799605 99.894787
168.741071 487.723423 93.533394
170.420180 489.020572 96.143435
172.099289 470.396581 109.337249
173.778398 472.353936 101.198860
175.457507 471.182552 91.769656
177.136616 464.829285 83.645532
178.815725 457.651404 88.749738
180.494834 459.392868 98.647165
182.173943 473.442365 113.363317
183.853052 465.339930 103.119603
185.532161 458.638646 95.193154
187.211270 457.090185 96.272992
188.890379 456.059099 94.109400
190.569488 453.943624 89.749298
192.248597 450.048229 78.886368
193.927706 458.933348 86.560867
195.606815 464.994347 91.217278
197.285924 463.753192 82.030679
198.965033 460.726293 86.314623
200.644142 458.683154 92.051426
202.323251 458.727505 96.637983
204.002360 458.386534 101.194578
205.681469 459.107375 100.139238
207.360578 461.769881 87.799183
209.039687 464.550016 92.936527
210.718796 466.994337 90.353492
212.397905 468.816227 68.856584
214.077014 471.213619 80.923385
215.756123 469.448901 92.452806
217.435232 460.208860 93.730670
219.114341 476.327451 100.702977
220.793450 491.864197 104.334853
222.472559 499.337597 101.603512
224.151668 509.859625 95.580808
225.830777 519.445204 93.260545
227.509886 526.623107 98.712079
229.188995 530.918293 103.788530
230.868104 537.604979 105.768413
232.547213 548.935247 105.153022
234.226322 555.031187 102.563060
235.905431 554.935936 104.165292
237.584540 546.188161 107.630156
239.263649 543.590559 101.721881
240.942758 545.935700 98.178691
242.621867 554.606160 95.200273
244.300976 552.516541 100.247469
245.980085 551.635946 104.805087
247.659194 553.959293 106.307980
249.338303 560.179690 103.749242
251.017412 562.833902 99.957131
252.696521 560.464598 94.961340
254.375630 568.505933 100.123166
256.054739 565.868812 105.360570
257.733848 549.842764 109.179685
259.412957 565.561419 100.626890
261.092066 567.480018 96.242276
262.771175 553.359433 96.999375
264.450284 569.525505 96.824014
266.129393 576.530197 100.662586
267.808502 574.384005 106.672398
269.487611 570.750063 94.096718
271.166720 574.852474 101.276173
272.845829 584.819415 125.804154
274.524938 580.102253 123.106394
276.204047 580.495548 110.951066
277.883156 584.640158 94.532644
