# shift_cm-1 intensity_mean intensity_std
-117.897011 5.602000 2.788709
-116.217902 3.986795 2.832877
-114.538793 2.682288 3.081171
-112.859684 1.824683 1.497470
-111.180575 2.089275 1.124422
-109.501466 2.292172 1.690231
-107.822357 1.498956 1.347704
-106.143248 2.369722 1.216714
-104.464139 3.986647 2.319576
-102.785030 3.216957 1.457694
-101.105921 3.215386 1.867344
-99.426812 4.057806 0.731214
-97.747703 2.435115 2.246367
-96.068594 2.042741 3.410101
-94.389485 5.100106 2.749403
-92.710376 5.231576 2.570604
-91.031267 4.014994 2.506293
-89.352158 1.378304 2.745874
-87.673049 1.680405 2.819135
-85.993940 4.299245 2.166744
-84.314831 4.439166 2.199401
-82.635722 4.333564 2.781954
-80.956613 3.945005 1.784148
-79.277504 4.292350 2.669899
-77.598395 4.419804 3.334190
-75.919286 3.321855 2.465714
-74.240177 2.717049 1.190654
-72.561068 2.496892 1.010290
-70.881959 3.709223 2.082558
-69.202850 4.236099 1.714695
-67.523741 4.094029 2.443107
-65.844632 4.374339 1.818973
-64.165523 4.213847 1.668528
-62.486414 3.192144 1.696698
-60.807305 3.835373 2.270754
-59.128196 4.961429 3.300299
-57.449087 6.124349 2.897806
-55.769978 5.900389 1.960343
-54.090869 4.972149 2.652332
-52.411760 5.637229 1.673429
-50.732651 5.300048 1.582411
-49.053542 3.909730 1.410270
-47.374433 5.481161 2.622705
-45.695324 6.169206 2.999399
-44.016215 4.669970 1.672172
-42.337106 5.168082 1.799621
-40.657997 6.273087 2.912438
-38.978888 7.492774 2.111298
-37.299779 7.458852 1.749300
-35.620670 6.844123 2.291663
-33.941561 7.901267 2.015941
-32.262452 8.810151 2.110144
-30.583343 9.572913 1.913428
-28.904234 11.206437 1.991532
-27.225125 12.678499 2.579214
-25.546016 13.783382 2.971248
-23.866907 14.814538 2.938569
-22.187798 16.280187 3.544448
-20.508689 19.140429 2.991304
-18.829580 23.114442 2.908651
-17.150471 27.964241 4.233878
-15.471362 35.440587 4.836705
-13.792253 50.290359 6.018804
-12.113144 71.015244 9.657280
-10.434035 130.540111 13.879805
-8.754926 278.750990 29.406927
-7.075817 541.954831 59.755074
-5.396708 1373.357168 137.746775
-3.717599 2650.900140 303.174874
-2.038490 4718.872549 654.647629
-0.359381 6195.175387 734.505854
1.319728 6984.029796 763.978116
2.998837 5786.987524 876.908125
4.677946 3464.257055 594.079876
6.357055 738.671310 113.794283
8.036164 290.162166 45.091700
9.715273 66.748040 10.277263
11.394382 41.374457 5.807863
13.073491 33.577762 5.111755
14.752600 27.398749 3.799339
16.431709 22.902503 1.998183
18.110818 20.986442 2.529942
19.789927 19.268248 3.164723
21.469036 17.153393 4.533678
23.148145 15.730234 3.200284
24.827254 14.592722 2.581080
26.506363 13.721567 2.773199
28.185472 12.017199 2.863805
29.864581 10.013384 3.335212
31.543690 8.973266 3.395793
33.222799 7.802890 2.482191
34.901908 6.561115 3.789487
36.581017 6.970420 1.634591
38.260126 6.972270 1.957865
39.939235 6.511720 2.583365
41.618344 5.670937 1.521705
43.297453 5.085194 1.549575
44.976562 4.976554 2.138773
46.655671 5.766035 2.766081
48.334780 6.235846 3.033850
50.013889 5.444533 3.656400
51.692998 4.992914 2.284061
53.372107 4.780916 1.189263
55.051216 5.056928 1.250789
56.730325 5.550847 0.885910
58.409434 5.902254 2.446009
60.088543 4.253048 1.861205
61.767652 4.276991 2.625589
63.446761 5.496617 2.273090
65.125870 4.885101 2.049499
66.804979 4.189286 1.789110
68.484088 3.406173 3.029077
70.163197 4.009875 1.965982
71.842306 4.465025 1.947121
73.521415 4.607960 2.778664
75.200524 3.445324 1.824929
76.879633 3.419781 1.624782
78.558742 5.980553 2.301145
80.237851 5.806980 1.980136
81.916960 5.348943 1.597771
83.596069 5.967869 1.878605
85.275178 4.744927 2.001237
86.954287 3.413713 2.510725
88.633396 4.413191 2.426640
90.312505 4.702446 0.983902
91.991614 4.803655 1.594714
93.670723 6.068704 0.962489
95.349832 5.484235 0.718301
97.028941 3.892847 2.381676
98.708050 5.696953 1.963818
100.387159 5.737669 1.436363
102.066268 4.269876 2.176258
103.745377 6.119449 1.055361
105.424486 6.754220 2.098146
107.103595 6.053498 3.557156
108.782704 7.050335 1.900103
110.461813 7.791782 1.665628
112.140922 8.044652 2.709737
113.820031 8.821144 1.714548
115.499140 10.404921 1.359580
117.178249 13.292453 2.442666
118.857358 14.953845 2.114496
120.536467 16.799542 1.629958
122.215576 19.558919 1.312686
123.894685 25.040486 1.265118
125.573794 31.725220 2.300318
127.252903 39.745198 4.053963
128.932012 49.377353 4.282980
130.611121 61.245947 6.783308
132.290230 79.115245 5.830029
133.969339 101.438629 5.740822
135.648448 127.490788 6.540060
137.327557 161.878331 7.465867
139.006666 197.180629 8.674400
140.685775 232.640205 9.596295
142.364884 266.037334 8.853087
144.043993 297.208980 8.394710
145.723102 325.986155 8.121672
147.402211 345.484599 6.541919
149.081320 361.033880 6.302916
150.760429 373.400638 7.265041
152.439538 380.874569 7.559403
154.118647 385.497132 7.723794
155.797756 387.527967 8.066384
157.476865 382.103636 5.557197
159.155974 378.520606 5.854077
160.835083 376.667483 9.096832
162.514192 377.648255 10.296914
164.193301 376.586513 10.129840
165.872410 373.402774 8.679223
167.551519 375.367207 8.182429
169.230628 376.938383 8.056596
170.909737 377.912833 6.280624
172.588846 379.599843 6.800447
174.267955 379.706310 6.703516
175.947064 377.785770 6.874007
177.626173 375.959799 4.874543
179.305282 375.000807 4.821502
180.984391 375.220827 7.375490
182.663500 371.858151 6.753228
184.342609 368.093307 5.886827
186.021718 364.240291 5.187518
187.700827 363.250354 5.376691
189.379936 363.659693 6.033781
191.059045 365.745943 7.450561
192.738154 365.010704 7.820961
194.417263 365.211575 7.206558
196.096372 367.533419 5.700057
197.775481 368.734537 6.053804
199.454590 368.957701 6.896106
201.133699 367.794817 7.277496
202.812808 367.930999 4.961097
204.491917 367.576569 5.066398
206.171026 366.030984 9.268613
207.850135 364.549515 8.821079
209.529244 364.626237 7.722213
211.208353 367.421727 7.288555
212.887462 366.962938 6.580760
214.566571 367.365630 6.751440
216.245680 370.193615 8.680407
217.924789 372.027366 7.850277
219.603898 373.817580 7.183902
221.283007 375.808707 7.666805
222.962116 379.729088 7.296776
224.641225 384.671146 7.948402
226.320334 390.855732 10.356107
227.999443 392.968304 7.929671
229.678552 393.988652 6.534547
231.357661 394.181355 7.950141
233.036770 395.382924 6.925305
234.715879 396.905133 6.979935
236.394988 398.720742 8.589908
238.074097 399.016158 8.478272
239.753206 400.328950 8.633776
241.432315 403.435566 9.153241
243.111424 401.671933 6.608084
244.790533 399.649495 6.293204
246.469642 397.951218 8.498593
248.148751 397.406553 9.241232
249.827860 396.521235 9.938693
251.506969 395.074170 10.208067
253.186078 392.255122 9.199306
254.865187 391.104055 7.898246
256.544296 392.026672 6.984248
258.223405 391.811277 8.242497
259.902514 390.177888 8.347471
261.581623 387.052532 6.571484
263.260732 388.226691 6.159405
264.939841 387.699438 6.255551
266.618950 385.628069 8.033188
268.298059 389.587720 7.248337
269.977168 390.622112 6.896500
271.656277 389.291804 5.930395
273.335386 390.852511 7.456975
275.014495 394.077857 7.655973
276.693604 398.343733 8.246140
278.372713 400.243749 9.668761
280.051822 399.883526 8.252740
281.730931 398.961978 5.390206
283.410040 404.738213 6.649059
285.089149 407.394271 8.045118
286.768258 408.499209 9.788506
288.447367 410.610431 8.899289
290.126476 414.498208 9.298389
291.805585 419.583358 10.279637
293.484694 426.124888 8.625261
295.163803 430.846202 7.600519
296.842912 435.976104 7.048889
298.522021 444.477479 8.294209
300.201130 451.187918 7.392884
301.880239 455.803844 7.019830
303.559348 456.651049 8.888521
305.238457 449.892690 6.843116
306.917566 441.790695 5.521443
308.596675 434.378769 7.974927
310.275784 427.404880 5.840225
311.954893 421.462437 5.874333
313.634002 417.000998 5.543627
315.313111 418.680595 7.381947
316.992220 423.434437 8.414095
318.671329 431.314413 7.742406
320.350438 437.862264 6.055769
322.029547 438.099679 6.498432
323.708656 432.121790 9.753651
325.387765 423.048263 9.203211
327.066874 411.613397 10.093751
328.745983 399.125991 11.273050
330.425092 393.445200 9.281857
332.104201 390.338592 8.560250
333.783310 388.459575 9.907476
335.462419 385.095342 10.038191
337.141528 380.333355 8.834886
338.820637 376.438983 7.506887
340.499746 377.505961 9.466123
342.178855 375.161275 8.616714
343.857964 370.991925 7.362034
345.537073 365.023490 8.033956
347.216182 365.224453 7.602460
348.895291 365.305698 7.330709
350.574400 363.111612 7.389683
352.253509 357.087444 9.187193
353.932618 353.803371 10.311315
355.611727 354.412539 10.857442
357.290836 350.809679 9.311822
358.969945 349.901205 8.543942
360.649054 351.004712 8.434810
362.328163 344.602592 7.951576
364.007272 340.863020 7.769834
365.686381 338.763087 7.446550
367.365490 335.971271 9.223098
369.044599 334.727973 8.346567
370.723708 334.131231 7.901637
372.402817 333.328937 9.189630
374.081926 329.569804 8.145644
375.761035 325.583892 7.535268
377.440144 323.001980 7.119104
379.119253 320.822704 8.172737
380.798362 319.409405 8.611993
382.477471 319.027085 9.049026
384.156580 316.685553 8.577980
385.835689 314.979089 8.317465
387.514798 314.037649 8.366372
389.193907 313.437563 7.640295
390.873016 313.761823 8.300391
392.552125 314.150304 9.692148
394.231234 310.979034 8.251515
395.910343 310.447904 8.199621
397.589452 310.509936 8.641378
399.268561 308.656404 9.125241
400.947670 308.409701 9.191812
402.626779 309.554126 9.170957
404.305888 312.575282 8.511648
405.984997 311.404741 7.717957
407.664106 310.964107 7.648190
409.343215 312.091072 9.929984
411.022324 308.866713 10.798927
412.701433 307.939375 10.951724
414.380542 308.743923 9.957253
416.059651 308.101259 12.342518
417.738760 306.364472 12.183602
419.417869 304.043190 10.504599
421.096978 301.656130 10.136866
422.776087 302.161128 9.872146
424.455196 302.361564 9.523557
426.134305 300.135703 9.146858
427.813414 298.993830 10.725639
429.492523 297.025931 11.651813
431.171632 293.841400 11.410261
432.850741 293.479234 10.266001
434.529850 292.499580 9.747567
436.208959 290.492146 10.045957
437.888068 284.523663 9.114678
439.567177 280.939135 8.416743
441.246286 277.998341 8.643899
442.925395 273.553079 9.236172
444.604504 269.261845 11.169673
446.283613 266.106453 11.975219
447.962722 264.847930 10.734215
449.641831 260.928666 10.263417
451.320940 257.950335 10.233452
453.000049 256.018265 9.917805
454.679158 252.095656 10.287791
456.358267 248.563079 10.598547
458.037376 245.808261 11.051226
459.716485 245.367381 13.170978
461.395594 244.938026 12.062499
463.074703 243.776837 11.604977
464.753812 241.076216 14.115519
466.432921 243.312679 11.048962
468.112030 244.354554 9.336590
469.791139 243.348178 10.870435
471.470248 244.023514 10.995896
473.149357 244.074146 11.558310
474.828466 244.254226 12.023963
476.507575 247.091289 11.189612
478.186684 248.568445 11.165261
479.865793 249.745375 11.577926
481.544902 251.308685 12.099939
483.224011 255.752974 11.637732
484.903120 261.416834 10.610849
486.582229 268.015757 9.772930
488.261338 272.386640 8.064451
489.940447 279.207499 8.389589
491.619556 288.186100 9.096012
493.298665 299.716386 10.760733
494.977774 311.677550 10.005416
496.656883 329.285685 9.075625
498.335992 358.040791 9.409849
500.015101 400.865643 9.637694
501.694210 452.951183 9.389749
503.373319 516.205754 9.218214
505.052428 621.298851 9.271643
506.731537 767.382720 12.127457
508.410646 957.272287 15.746450
510.089755 1220.420751 19.002155
511.768864 1575.161065 23.454635
513.447973 1973.987011 30.967748
515.127082 2407.508348 41.591719
516.806191 2751.144035 45.081731
518.485300 2924.326364 47.372084
520.164409 2927.597678 48.858439
521.843518 2720.018754 48.154289
523.522627 2435.146293 40.852705
525.201736 2131.542035 33.416729
526.880845 1857.231865 30.114863
528.559954 1628.157186 23.784079
530.239063 1434.934785 19.749094
531.918172 1277.427668 19.456247
533.597281 1152.707165 18.117314
535.276390 1049.781853 16.277044
536.955499 963.282441 13.873878
538.634608 891.045955 10.804530
540.313717 830.337892 11.318104
541.992826 775.872081 11.884258
543.671935 726.753835 9.625763
545.351044 684.372041 10.326025
547.030153 650.986106 10.601152
548.709262 623.562130 10.935800
550.388371 593.895725 11.487858
552.067480 571.614471 9.729256
