# shift_cm-1 intensity_mean intensity_std
-118.067271 3.286935 10.738605
-116.388163 5.813582 6.661230
-114.709055 8.151500 3.953898
-113.029947 10.217956 3.321233
-111.350839 11.884125 3.576372
-109.671731 13.343913 3.793645
-107.992623 14.412516 3.562487
-106.313515 15.132721 3.192437
-104.634407 15.629405 3.122881
-102.955299 15.599292 3.738784
-101.276191 14.538425 4.289103
-99.597083 12.344959 4.479068
-97.917975 11.341180 5.471939
-96.238867 9.867994 6.348141
-94.559759 7.009651 6.906447
-92.880651 6.573475 8.203360
-91.201543 6.937137 9.290898
-89.522435 6.545573 7.744486
-87.843327 5.874888 5.899624
-86.164219 4.984155 3.724045
-84.485111 3.949024 2.610676
-82.806003 3.583738 2.568453
-81.126895 4.239190 4.108755
-79.447787 4.558914 4.829369
-77.768679 5.281921 5.262836
-76.089571 7.529814 5.556317
-74.410463 9.371606 5.880530
-72.731355 10.819210 6.219632
-71.052247 10.233921 6.403614
-69.373139 9.486938 6.543029
-67.694031 8.582146 6.619738
-66.014923 10.493542 6.752981
-64.335815 11.784486 6.540112
-62.656707 11.555696 5.714687
-60.977599 13.504196 4.375377
-59.298491 15.896760 2.654426
-57.619383 17.614567 1.115337
-55.940275 18.489763 1.617162
-54.261167 18.946906 2.234995
-52.582059 20.526356 2.660464
-50.902951 22.414695 3.013582
-49.223843 24.627631 3.017084
-47.544735 24.354177 3.470211
-45.865627 23.916818 3.800781
-44.186519 23.604560 3.428936
-42.507411 23.440404 2.607547
-40.828303 23.269425 1.866007
-39.149195 22.908963 2.741253
-37.470087 23.400072 3.181703
-35.790979 24.450691 3.084516
-34.111871 26.491311 2.202272
-32.432763 27.466528 2.367701
-30.753655 27.391576 2.269323
-29.074547 26.417526 2.010926
-27.395439 24.578657 2.181061
-25.716331 21.387341 3.484011
-24.037223 -2.913487 3.550756
-22.358115 -66.132274 2.819564
-20.679007 -233.909186 2.499952
-18.999899 -623.821870 5.021121
-17.320791 -1063.587644 13.719423
-15.641683 -1094.019111 22.648414
-13.962575 -442.088452 25.688766
-12.283467 753.624594 23.693798
-10.604359 2847.292477 9.589588
-8.925251 4822.618846 9.081067
-7.246143 6638.884222 24.310041
-5.567035 7981.465266 39.735473
-3.887927 9083.292434 53.605536
-2.208819 9809.630361 64.004788
-0.529711 10118.798050 70.104234
1.149397 10185.139369 73.995696
2.828505 9814.052216 74.526275
4.507613 9091.868848 72.382059
6.186721 8128.914638 68.556592
7.865829 6686.692032 62.240418
9.544937 5004.215530 53.058271
11.224045 3110.323410 41.378181
12.903153 1161.213675 18.234828
14.582261 -363.987673 2.181512
16.261369 -1309.904279 14.839476
17.940477 -1214.843864 16.042557
19.619585 -859.972020 13.727583
21.298693 -278.571584 7.957784
22.977801 -54.465592 4.817014
24.656909 35.554331 2.794294
26.336017 37.240541 2.730935
28.015125 36.388507 2.705153
29.694233 34.222892 2.512020
31.373341 31.877087 4.134061
33.052449 29.512287 5.278339
34.731557 27.099657 6.103285
36.410665 22.806746 6.648725
38.089773 19.781328 6.366366
39.768881 18.194636 5.672155
41.447989 16.581876 5.296075
43.127097 15.600033 5.284851
44.806205 15.670880 5.909270
46.485313 13.788732 6.537918
48.164421 11.844976 6.785539
49.843529 10.753138 5.889177
51.522637 11.699621 5.510516
53.201745 13.227163 5.296735
54.880853 14.232512 4.998346
56.559961 15.294750 4.319059
58.239069 16.299305 3.725705
59.918177 16.621678 3.907981
61.597285 16.909237 3.950888
63.276393 17.142784 3.905132
64.955501 16.522872 4.151480
66.634609 15.376732 4.572806
68.313717 13.685504 5.044533
69.992825 13.241177 4.492395
71.671933 12.493252 4.274063
73.351041 11.222616 5.476626
75.030149 9.161186 6.699192
76.709257 6.207018 7.446532
78.388365 1.733686 7.371187
80.067473 1.103369 6.794237
81.746581 1.424717 6.327120
83.425689 1.750214 6.376468
85.104797 2.461961 5.058098
86.783905 3.182640 3.321863
88.463013 3.357526 2.006995
90.142121 5.226811 1.433750
91.821229 8.019605 0.965802
93.500337 11.230150 0.778210
95.179445 13.319637 1.786368
96.858553 14.597505 2.431572
98.537661 15.081530 2.266990
100.216769 15.605947 2.459272
101.895877 16.165191 3.276860
103.574985 16.696741 2.976721
105.254093 16.659229 4.091781
106.933201 15.995922 4.998286
108.612309 15.138476 6.028698
110.291417 15.179965 6.993756
111.970525 16.487119 7.692708
113.649633 16.444556 7.825064
115.328741 17.125920 7.500793
117.007849 19.363923 6.621905
118.686957 22.738188 5.675367
120.366065 27.512669 5.005899
122.045173 34.878588 4.659208
123.724281 46.277020 4.616113
125.403389 60.901222 5.636689
127.082497 81.518537 7.287360
128.761605 111.922555 8.550580
130.440713 147.833388 9.269666
132.119821 191.265473 9.111806
133.798929 241.371732 9.077649
135.478037 295.246867 8.508563
137.157145 353.180853 6.170917
138.836253 411.176387 2.561336
140.515361 469.204604 2.255466
142.194469 527.234590 5.577777
143.873577 582.644424 7.536319
145.552685 635.164100 9.174340
147.231793 676.102072 11.880994
148.910901 709.961292 13.556801
150.590009 737.759157 14.571770
152.269117 751.670433 15.702370
153.948225 761.647582 16.559705
155.627333 768.307783 17.272396
157.306441 772.814520 13.774009
158.985549 776.856654 10.946313
160.664657 780.449261 9.412102
162.343765 779.593741 7.263390
164.022873 778.734681 6.346701
165.701981 777.871942 6.580639
167.381089 776.133343 4.606698
