# shift_cm-1 intensity_mean intensity_std
-118.343598 -1.162637 20.368441
-116.664490 0.608165 14.860177
-114.985382 2.084078 10.245603
-113.306274 3.135827 6.850638
-111.627166 3.662354 4.784550
-109.948058 3.944511 3.371670
-108.268950 3.799758 3.097088
-106.589842 3.346649 3.616731
-104.910734 2.701982 4.578184
-103.231626 1.686755 5.898349
-101.552518 -0.122968 6.801595
-99.873410 -2.805689 7.661368
-98.194302 -3.178776 7.278261
-96.515194 -3.604398 7.326516
-94.836086 -4.786886 8.696554
-93.156978 -6.767747 8.942181
-91.477870 -8.921591 8.753858
-89.798762 -10.272854 8.171712
-88.119654 -11.626182 8.111692
-86.440546 -12.981137 8.675170
-84.761438 -11.903653 8.295075
-83.082330 -10.552975 8.656057
-81.403222 -8.875747 9.423845
-79.724114 -6.741533 8.176714
-78.045006 -4.032786 7.027638
-76.365898 0.181682 7.460443
-74.686790 0.546550 7.505546
-73.007682 -0.677471 7.473390
-71.328574 2.492848 7.318476
-69.649466 6.532270 8.912594
-67.970358 11.419923 11.144027
-66.291250 13.981036 12.877844
-64.612142 14.513296 14.152574
-62.933034 11.672251 14.400550
-61.253926 7.479518 14.272664
-59.574818 3.971735 14.251848
-57.895710 4.588545 14.668488
-56.216602 3.247591 13.835496
-54.537494 0.871493 12.458653
-52.858386 0.109385 11.881385
-51.179278 -0.600346 11.786361
-49.500170 -1.255035 12.138822
-47.821062 -2.554501 14.358822
-46.141954 -2.993983 15.816588
-44.462846 -1.695265 15.406387
-42.783738 -1.269971 14.633877
-41.104630 -0.527283 13.814496
-39.425522 2.391566 11.972880
-37.746414 8.837176 11.314274
-36.067306 16.729840 11.002900
-34.388198 17.503879 9.561504
-32.709090 17.718931 8.025920
-31.029982 17.382987 6.503572
-29.350874 20.633295 5.376855
-27.671766 20.361310 5.476465
-25.992658 13.779983 6.697181
-24.313550 -9.510359 5.965710
-22.634442 -56.634787 6.734662
-20.955334 -165.012035 10.245034
-19.276226 -367.352258 16.542514
-17.597118 -616.734005 21.765305
-15.918010 -887.018278 31.948275
-14.238902 -513.287926 27.696489
-12.559794 373.666479 57.959055
-10.880686 1996.498241 76.771583
-9.201578 3502.455717 94.167066
-7.522470 4852.212518 110.217906
-5.843362 5855.534678 124.331235
-4.164254 6682.074971 135.796632
-2.485146 7232.475635 141.008057
-0.806038 7472.920732 141.336490
0.873070 7533.558501 138.870485
2.552178 7271.623874 131.361241
4.231286 6749.357877 118.220839
5.910394 6049.498244 101.660489
7.589502 5003.922653 79.498136
9.268610 3789.467297 57.007527
10.947718 2426.402884 40.005326
12.626826 995.200026 34.107014
14.305934 -230.624415 35.910649
15.985042 -1174.561689 36.423810
17.664150 -1023.421616 6.475981
19.343258 -656.849764 32.090058
21.022366 -176.352380 13.979722
22.701474 -24.687202 7.162847
24.380582 14.304580 6.509382
26.059690 11.199109 7.898876
27.738798 10.470305 8.401060
29.417906 10.316691 8.274406
31.097014 5.242351 7.432381
32.776122 1.392839 6.333531
34.455230 -1.410667 4.852601
36.134338 1.444385 4.736642
37.813446 3.810089 4.841294
39.492554 5.620335 5.423126
41.171662 7.330417 5.737475
42.850770 8.148791 6.145528
44.529878 7.498510 6.510440
46.208986 8.560279 8.131286
47.888094 10.369494 9.450966
49.567202 13.165304 9.988145
51.246310 11.778533 10.092799
52.925418 8.969212 10.174943
54.604526 6.304155 9.892955
56.283634 1.652846 8.542584
57.962742 -3.291350 6.603211
59.641850 -2.385582 4.285851
61.320958 -3.194843 4.339717
63.000066 -5.196570 5.712179
64.679174 -4.292276 5.004641
66.358282 -2.386377 5.745955
68.037390 0.557027 8.809072
69.716498 -0.283446 9.432378
71.395606 -0.993332 10.283036
73.074714 -1.241401 11.473184
74.753822 -0.886606 11.008651
76.432930 -0.874025 10.817315
78.112038 -1.699335 11.724537
79.791146 -1.930861 10.643024
81.470254 -2.285783 9.361150
83.149362 -3.384678 7.988792
84.828470 -4.411181 7.663503
86.507578 -4.786555 7.789298
88.186686 -2.595766 7.730523
89.865794 -0.280637 6.147529
91.544902 1.887708 4.921208
93.224010 2.641806 6.028168
94.903118 4.380632 6.943584
96.582226 6.843054 7.474908
98.261334 10.154330 7.859960
99.940442 13.056206 7.363293
101.619550 15.603777 6.138125
103.298658 18.182358 8.063244
104.977766 19.065249 9.031743
106.656874 18.083391 8.932556
108.335982 18.337392 7.868490
110.015090 18.415127 6.880225
111.694198 18.150337 6.364739
113.373306 23.800568 3.260227
115.052414 26.523987 1.949976
116.731522 22.856459 3.835195
118.410630 24.537454 3.817968
120.089738 26.639221 3.303082
121.768846 27.433289 4.199653
123.447954 29.042008 3.734939
125.127062 34.242396 4.166963
126.806170 48.832805 6.640806
128.485278 72.316968 6.288482
130.164386 100.683958 4.975265
131.843494 135.450372 3.995033
133.522602 173.522774 3.429098
135.201710 213.645080 3.774145
136.880818 256.626704 4.111984
138.559926 302.713627 2.417388
140.239034 350.946752 3.235402
141.918142 402.434815 5.028020
143.597250 448.857947 8.018853
145.276358 490.770002 12.495716
146.955466 520.164017 12.093858
148.634574 547.425148 13.100074
150.313682 572.157512 15.330085
151.992790 582.604104 16.420171
153.671898 586.697880 17.050712
155.351006 585.752447 17.139774
157.030114 591.277859 15.159061
158.709222 595.575374 15.025633
160.388330 598.711223 16.966830
162.067438 597.708324 16.581648
163.746546 596.707512 15.247158
165.425654 595.708870 13.074156
167.104762 591.259606 12.542522
168.783870 585.962312 12.359433
170.462978 579.782195 12.478419
172.142086 583.146685 12.880538
173.821194 586.235306 12.883467
175.500302 588.393787 13.376991
177.179410 587.571362 15.233131
178.858518 587.695291 16.678192
180.537626 589.413707 18.074041
182.216734 586.018351 19.897434
183.895842 582.155576 21.201471
185.574950 578.324178 22.405393
187.254058 582.125982 22.218058
188.933166 585.600938 21.907100
190.612274 587.224224 21.994971
192.291382 585.443518 21.890246
193.970490 584.014082 22.265278
195.649598 583.878311 23.342073
197.328706 578.865646 22.667405
199.007814 574.915656 21.712354
200.686922 573.924737 21.016072
