======  H (1 GeV) into Air [Death Ray ?]        =======
        SRIM-2008.04
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
====== TRIM Calc.=  H(1 GeV) ==> Air(  5 km) =================================
------------------------------------------------------------------------------
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 1000000 keV
 Total Ions calculated =5000.00
============= TARGET MATERIAL ======================================
Layer  1 : Air
Layer Width = 50000.E+09 AAA ;
  Layer # 1- Density = 5.127E19 atoms/cm3 = .0012 g/cm3
  Layer # 1-  N = 76   Atomic Percent = 72.4 Mass Percent
  Layer # 1-  O = 23   Atomic Percent = 25.0 Mass Percent
  Layer # 1- Ar = 1    Atomic Percent = 2.45 Mass Percent
====================================================================
 Ion Average Range = 295240.E+08 A   Straggling = 376064.E+06 A
 Ion Lateral Range = 347286.E+06 A   Straggling = 486255.E+06 A
 Ion Radial  Range = 545466.E+06 A   Straggling = 413167.E+06 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
5000000.E+05 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1000000.E+06 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1500000.E+06 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
2000000.E+06 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
2500000.E+06 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
3000000.E+06 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
3500000.E+06 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4000000.E+06 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4500000.E+06 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
5000000.E+06 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
5500000.E+06 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
6000000.E+06 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
6500000.E+06 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7000000.E+06 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7500000.E+06 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
8000000.E+06 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
8500000.E+06 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
9000000.E+06 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
9500000.E+06 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1000000.E+07 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
