====== H (10000) into Beryllium                 =======
        SRIM-2008.04
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
====== TRIM Calc.=  H(10 MeV) ==> Beryllium(  1 mm) ==========================
------------------------------------------------------------------------------
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 10000 keV
 Total Ions calculated =5000.00
============= TARGET MATERIAL ======================================
Layer  1 : Beryllium
Layer Width = 10000.E+03 AAA ;
  Layer # 1- Density = 12.34E22 atoms/cm3 = 1.848 g/cm3
  Layer # 1- Be = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Ion Average Range = 803314.E+01 A   Straggling = 116883.E+00 A
 Ion Lateral Range = 101010.E+00 A   Straggling = 144408.E+00 A
 Ion Radial  Range = 161321.E+00 A   Straggling = 130393.E+00 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
7010000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7020000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7030000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7040000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7050000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7060000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7070000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7080000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7090000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7100000.E+00 31308642.E-02 31308642.E-02 33025729.E-02 95683193.E-10 
7110000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7120000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7130000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7140000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7150000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7160000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7170000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7180000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7190000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7200000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7210000.E+00 65800083.E-02 65800083.E-02 22054322.E-01 54126588.E-09 
7220000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
