====== H (2000) into Si Solid                   =======
        SRIM-2013.00
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 2000 keV
============= TARGET MATERIAL ======================================
Layer  1 : Si Solid
Layer Width = 10000.E+02 AAA ;
  Layer # 1- Density = 4.976E22 atoms/cm3 = 2.321 g/cm3
  Layer # 1- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =10000.00
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===========================================================
   DEPTH       ENERGY      Energy       
   DEPTH        from       Absorbed     
   (Ang.)       IONS       by  Si       
----------   ------------  -----------  
100000.E-01  8277.99E-07  8313.59E-07  
200000.E-01  9023.73E-07  9171.13E-07  
300000.E-01  1153.18E-06  1168.96E-06  
400000.E-01  1004.19E-06  1019.95E-06  
500000.E-01  8116.75E-07  8275.15E-07  
600000.E-01  1048.98E-06  1064.42E-06  
700000.E-01  1090.03E-06  1106.71E-06  
800000.E-01  1416.23E-06  1432.97E-06  
900000.E-01  1163.32E-06  1180.16E-06  
100000.E+00  1198.92E-06  1215.48E-06  
110000.E+00  1046.07E-06  1064.01E-06  
120000.E+00  1021.57E-06  1040.23E-06  
130000.E+00  7958.20E-07  8127.80E-07  
140000.E+00  8441.53E-07  8610.53E-07  
150000.E+00  1922.96E-06  1941.32E-06  
160000.E+00  2780.24E-06  2798.34E-06  
170000.E+00  2021.08E-06  2039.90E-06  
180000.E+00  1561.07E-06  1580.71E-06  
190000.E+00  1797.41E-06  1817.13E-06  
200000.E+00  1317.71E-06  1338.33E-06  
210000.E+00  1246.08E-06  1266.14E-06  
220000.E+00  1346.65E-06  1368.75E-06  
230000.E+00  1531.01E-06  1553.99E-06  
240000.E+00  1621.58E-06  1643.54E-06  
250000.E+00  1303.13E-06  1325.53E-06  
260000.E+00  1334.25E-06  1358.09E-06  
270000.E+00  1480.02E-06  1503.70E-06  
280000.E+00  1556.49E-06  1581.73E-06  
290000.E+00  1764.13E-06  1790.35E-06  
300000.E+00  1785.34E-06  1811.30E-06  
310000.E+00  1580.33E-06  1608.81E-06  
320000.E+00  1834.90E-06  1864.72E-06  
330000.E+00  2379.64E-06  2410.60E-06  
340000.E+00  2215.65E-06  2247.43E-06  
350000.E+00  3220.42E-06  3252.78E-06  
360000.E+00  2552.09E-06  2587.25E-06  
370000.E+00  3275.90E-06  3313.42E-06  
380000.E+00  2475.27E-06  2513.65E-06  
390000.E+00  3269.77E-06  3311.65E-06  
400000.E+00  2879.93E-06  2926.07E-06  
410000.E+00  3318.79E-06  3368.65E-06  
420000.E+00  3009.12E-06  3063.22E-06  
430000.E+00  4137.31E-06  4198.67E-06  
440000.E+00  5274.15E-06  5347.71E-06  
450000.E+00  5141.41E-06  5230.93E-06  
460000.E+00  7723.78E-06  7847.54E-06  
470000.E+00  1237.64E-05  1262.42E-05  
480000.E+00  2112.81E-05  2169.22E-05  
490000.E+00  1927.43E-05  1988.03E-05  
500000.E+00  6557.50E-06  6792.88E-06  
510000.E+00  8397.79E-07  8682.79E-07  
520000.E+00  2058.60E-08  2138.60E-08  
530000.E+00  0000.00E+00  0000.00E+00  
540000.E+00  0000.00E+00  0000.00E+00  
550000.E+00  0000.00E+00  0000.00E+00  
560000.E+00  0000.00E+00  0000.00E+00  
570000.E+00  0000.00E+00  0000.00E+00  
580000.E+00  0000.00E+00  0000.00E+00  
590000.E+00  0000.00E+00  0000.00E+00  
600000.E+00  0000.00E+00  0000.00E+00  
610000.E+00  0000.00E+00  0000.00E+00  
620000.E+00  0000.00E+00  0000.00E+00  
630000.E+00  0000.00E+00  0000.00E+00  
640000.E+00  0000.00E+00  0000.00E+00  
650000.E+00  0000.00E+00  0000.00E+00  
660000.E+00  0000.00E+00  0000.00E+00  
670000.E+00  0000.00E+00  0000.00E+00  
680000.E+00  0000.00E+00  0000.00E+00  
690000.E+00  0000.00E+00  0000.00E+00  
700000.E+00  0000.00E+00  0000.00E+00  
710000.E+00  0000.00E+00  0000.00E+00  
720000.E+00  0000.00E+00  0000.00E+00  
730000.E+00  0000.00E+00  0000.00E+00  
740000.E+00  0000.00E+00  0000.00E+00  
750000.E+00  0000.00E+00  0000.00E+00  
760000.E+00  0000.00E+00  0000.00E+00  
770000.E+00  0000.00E+00  0000.00E+00  
780000.E+00  0000.00E+00  0000.00E+00  
790000.E+00  0000.00E+00  0000.00E+00  
800000.E+00  0000.00E+00  0000.00E+00  
810000.E+00  0000.00E+00  0000.00E+00  
820000.E+00  0000.00E+00  0000.00E+00  
830000.E+00  0000.00E+00  0000.00E+00  
840000.E+00  0000.00E+00  0000.00E+00  
850000.E+00  0000.00E+00  0000.00E+00  
860000.E+00  0000.00E+00  0000.00E+00  
870000.E+00  0000.00E+00  0000.00E+00  
880000.E+00  0000.00E+00  0000.00E+00  
890000.E+00  0000.00E+00  0000.00E+00  
900000.E+00  0000.00E+00  0000.00E+00  
910000.E+00  0000.00E+00  0000.00E+00  
920000.E+00  0000.00E+00  0000.00E+00  
930000.E+00  0000.00E+00  0000.00E+00  
940000.E+00  0000.00E+00  0000.00E+00  
950000.E+00  0000.00E+00  0000.00E+00  
960000.E+00  0000.00E+00  0000.00E+00  
970000.E+00  0000.00E+00  0000.00E+00  
980000.E+00  0000.00E+00  0000.00E+00  
990000.E+00  0000.00E+00  0000.00E+00  
100000.E+01  0000.00E+00  0000.00E+00  
