====== H (2000) into Si Solid                   =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  H   Energy = 2000 keV
============= TARGET MATERIAL ======================================
Layer 1 : Si Solid
Layer Width = 10000.E+02 A ;
  Layer # 1- Density = 4.976E22 atoms/cm3 = 2.321 g/cm3
  Layer # 1- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =010000.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
100000.E-01  2610.51E-03  5495.94E-08
200000.E-01  2626.52E-03  3308.97E-07
300000.E-01  2650.82E-03  3703.89E-07
400000.E-01  2677.92E-03  4453.03E-07
500000.E-01  2699.20E-03  2289.16E-07
600000.E-01  2727.31E-03  3121.66E-07
700000.E-01  2755.10E-03  3413.91E-07
800000.E-01  2785.99E-03  4608.84E-07
900000.E-01  2816.50E-03  6413.85E-07
100000.E+00  2844.09E-03  3182.73E-07
110000.E+00  2874.89E-03  3709.36E-07
120000.E+00  2908.85E-03  5210.72E-07
130000.E+00  2941.11E-03  2543.36E-07
140000.E+00  2974.92E-03  2138.05E-07
150000.E+00  3012.61E-03  4752.13E-07
160000.E+00  3048.34E-03  1742.53E-06
170000.E+00  3099.16E-03  1459.14E-06
180000.E+00  3141.15E-03  2796.90E-07
190000.E+00  3183.93E-03  1284.57E-06
200000.E+00  3226.70E-03  3684.00E-07
210000.E+00  3271.43E-03  5261.26E-07
220000.E+00  3332.09E-03  4153.69E-07
230000.E+00  3385.37E-03  4166.19E-07
240000.E+00  3440.77E-03  7190.88E-07
250000.E+00  3494.88E-03  5325.10E-07
260000.E+00  3556.05E-03  3984.86E-07
270000.E+00  3630.57E-03  6568.44E-07
280000.E+00  3703.76E-03  4004.33E-07
290000.E+00  3778.11E-03  8037.74E-07
300000.E+00  3860.53E-03  5668.78E-07
310000.E+00  3953.23E-03  6314.69E-07
320000.E+00  4032.70E-03  5229.72E-07
330000.E+00  4132.90E-03  1048.98E-06
340000.E+00  4235.62E-03  5447.35E-07
350000.E+00  4347.74E-03  1397.12E-06
360000.E+00  4473.81E-03  9634.37E-07
370000.E+00  4614.12E-03  1507.11E-06
380000.E+00  4758.92E-03  7111.82E-07
390000.E+00  4949.72E-03  1412.76E-06
400000.E+00  5162.39E-03  8174.57E-07
410000.E+00  5397.50E-03  1354.15E-06
420000.E+00  5688.52E-03  1083.89E-06
430000.E+00  6039.44E-03  1160.91E-06
440000.E+00  6489.11E-03  1934.85E-06
450000.E+00  7091.07E-03  1899.95E-06
460000.E+00  7986.75E-03  2591.48E-06
470000.E+00  9043.66E-03  3833.86E-06
480000.E+00  8503.80E-03  6338.65E-06
490000.E+00  4656.21E-03  5482.24E-06
500000.E+00  1088.30E-03  1821.43E-06
510000.E+00  9318.67E-05  2336.40E-07
520000.E+00  3241.54E-06  5839.64E-09
530000.E+00  0000.00E+00  0000.00E+00
540000.E+00  0000.00E+00  0000.00E+00
550000.E+00  0000.00E+00  0000.00E+00
560000.E+00  0000.00E+00  0000.00E+00
570000.E+00  0000.00E+00  0000.00E+00
580000.E+00  0000.00E+00  0000.00E+00
590000.E+00  0000.00E+00  0000.00E+00
600000.E+00  0000.00E+00  0000.00E+00
610000.E+00  0000.00E+00  0000.00E+00
620000.E+00  0000.00E+00  0000.00E+00
630000.E+00  0000.00E+00  0000.00E+00
640000.E+00  0000.00E+00  0000.00E+00
650000.E+00  0000.00E+00  0000.00E+00
660000.E+00  0000.00E+00  0000.00E+00
670000.E+00  0000.00E+00  0000.00E+00
680000.E+00  0000.00E+00  0000.00E+00
690000.E+00  0000.00E+00  0000.00E+00
700000.E+00  0000.00E+00  0000.00E+00
710000.E+00  0000.00E+00  0000.00E+00
720000.E+00  0000.00E+00  0000.00E+00
730000.E+00  0000.00E+00  0000.00E+00
740000.E+00  0000.00E+00  0000.00E+00
750000.E+00  0000.00E+00  0000.00E+00
760000.E+00  0000.00E+00  0000.00E+00
770000.E+00  0000.00E+00  0000.00E+00
780000.E+00  0000.00E+00  0000.00E+00
790000.E+00  0000.00E+00  0000.00E+00
800000.E+00  0000.00E+00  0000.00E+00
810000.E+00  0000.00E+00  0000.00E+00
820000.E+00  0000.00E+00  0000.00E+00
830000.E+00  0000.00E+00  0000.00E+00
840000.E+00  0000.00E+00  0000.00E+00
850000.E+00  0000.00E+00  0000.00E+00
860000.E+00  0000.00E+00  0000.00E+00
870000.E+00  0000.00E+00  0000.00E+00
880000.E+00  0000.00E+00  0000.00E+00
890000.E+00  0000.00E+00  0000.00E+00
900000.E+00  0000.00E+00  0000.00E+00
910000.E+00  0000.00E+00  0000.00E+00
920000.E+00  0000.00E+00  0000.00E+00
930000.E+00  0000.00E+00  0000.00E+00
940000.E+00  0000.00E+00  0000.00E+00
950000.E+00  0000.00E+00  0000.00E+00
960000.E+00  0000.00E+00  0000.00E+00
970000.E+00  0000.00E+00  0000.00E+00
980000.E+00  0000.00E+00  0000.00E+00
990000.E+00  0000.00E+00  0000.00E+00
100000.E+01  0000.00E+00  0000.00E+00
