====== H (2000) into Si Solid                   =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  H   Energy = 2000 keV
============= TARGET MATERIAL ======================================
Layer  1 : Si Solid
Layer Width =     1.E+06 A ;
  Layer # 1- Density = 4.976E22 atoms/cm3 = 2.321 g/cm3
  Layer # 1- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =10000.00
 Total Target Vacancies     = 51 /Ion
 Total Target Displacements = 59 /Ion
 Total Target Replacement Collisions = 8 /Ion

!!!! NOTE : 2nd Column below is number of Primary Knock-Ons !!!!
           ( PKO are number of Target Atoms Recoiling from the Ion. )
==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET    
   DEPTH          H           Si       
   (Ang.)     Knock-Ons    Vacancies   
-----------  -----------  -----------  
100000.E-01  1780.00E-09  6040.00E-09  
200000.E-01  7370.00E-09  2826.00E-08  
300000.E-01  7890.00E-09  3271.00E-08  
400000.E-01  7880.00E-09  3456.00E-08  
500000.E-01  7920.00E-09  2602.00E-08  
600000.E-01  7720.00E-09  3013.00E-08  
700000.E-01  8340.00E-09  3285.00E-08  
800000.E-01  8370.00E-09  3733.00E-08  
900000.E-01  8420.00E-09  4407.00E-08  
100000.E+00  8280.00E-09  3111.00E-08  
110000.E+00  8970.00E-09  3434.00E-08  
120000.E+00  9330.00E-09  4009.00E-08  
130000.E+00  8480.00E-09  2775.00E-08  
140000.E+00  8450.00E-09  2510.00E-08  
150000.E+00  9180.00E-09  3491.00E-08  
160000.E+00  9050.00E-09  6126.00E-08  
170000.E+00  9410.00E-09  5096.00E-08  
180000.E+00  9820.00E-09  2953.00E-08  
190000.E+00  9860.00E-09  5194.00E-08  
200000.E+00  1031.00E-08  3655.00E-08  
210000.E+00  1003.00E-08  4609.00E-08  
220000.E+00  1105.00E-08  3968.00E-08  
230000.E+00  1149.00E-08  3967.00E-08  
240000.E+00  1098.00E-08  5088.00E-08  
250000.E+00  1120.00E-08  4704.00E-08  
260000.E+00  1192.00E-08  4051.00E-08  
270000.E+00  1184.00E-08  4954.00E-08  
280000.E+00  1262.00E-08  4387.00E-08  
290000.E+00  1311.00E-08  5301.00E-08  
300000.E+00  1298.00E-08  5302.00E-08  
310000.E+00  1424.00E-08  5699.00E-08  
320000.E+00  1491.00E-08  5497.00E-08  
330000.E+00  1548.00E-08  7613.00E-08  
340000.E+00  1589.00E-08  5605.00E-08  
350000.E+00  1618.00E-08  9158.00E-08  
360000.E+00  1758.00E-08  7255.00E-08  
370000.E+00  1876.00E-08  9343.00E-08  
380000.E+00  1919.00E-08  7232.00E-08  
390000.E+00  2094.00E-08  1029.80E-07  
400000.E+00  2307.00E-08  8270.00E-08  
410000.E+00  2493.00E-08  1089.80E-07  
420000.E+00  2705.00E-08  1023.30E-07  
430000.E+00  3068.00E-08  1162.90E-07  
440000.E+00  3678.00E-08  1641.70E-07  
450000.E+00  4476.00E-08  1716.50E-07  
460000.E+00  6188.00E-08  2458.40E-07  
470000.E+00  1239.10E-07  4135.50E-07  
480000.E+00  2820.40E-07  7774.70E-07  
490000.E+00  3029.80E-07  7468.60E-07  
500000.E+00  1176.90E-07  2643.70E-07  
510000.E+00  1425.00E-08  3365.00E-08  
520000.E+00  4000.00E-10  8900.00E-10  
530000.E+00  0000.00E+00  0000.00E+00  
540000.E+00  0000.00E+00  0000.00E+00  
550000.E+00  0000.00E+00  0000.00E+00  
560000.E+00  0000.00E+00  0000.00E+00  
570000.E+00  0000.00E+00  0000.00E+00  
580000.E+00  0000.00E+00  0000.00E+00  
590000.E+00  0000.00E+00  0000.00E+00  
600000.E+00  0000.00E+00  0000.00E+00  
610000.E+00  0000.00E+00  0000.00E+00  
620000.E+00  0000.00E+00  0000.00E+00  
630000.E+00  0000.00E+00  0000.00E+00  
640000.E+00  0000.00E+00  0000.00E+00  
650000.E+00  0000.00E+00  0000.00E+00  
660000.E+00  0000.00E+00  0000.00E+00  
670000.E+00  0000.00E+00  0000.00E+00  
680000.E+00  0000.00E+00  0000.00E+00  
690000.E+00  0000.00E+00  0000.00E+00  
700000.E+00  0000.00E+00  0000.00E+00  
710000.E+00  0000.00E+00  0000.00E+00  
720000.E+00  0000.00E+00  0000.00E+00  
730000.E+00  0000.00E+00  0000.00E+00  
740000.E+00  0000.00E+00  0000.00E+00  
750000.E+00  0000.00E+00  0000.00E+00  
760000.E+00  0000.00E+00  0000.00E+00  
770000.E+00  0000.00E+00  0000.00E+00  
780000.E+00  0000.00E+00  0000.00E+00  
790000.E+00  0000.00E+00  0000.00E+00  
800000.E+00  0000.00E+00  0000.00E+00  
810000.E+00  0000.00E+00  0000.00E+00  
820000.E+00  0000.00E+00  0000.00E+00  
830000.E+00  0000.00E+00  0000.00E+00  
840000.E+00  0000.00E+00  0000.00E+00  
850000.E+00  0000.00E+00  0000.00E+00  
860000.E+00  0000.00E+00  0000.00E+00  
870000.E+00  0000.00E+00  0000.00E+00  
880000.E+00  0000.00E+00  0000.00E+00  
890000.E+00  0000.00E+00  0000.00E+00  
900000.E+00  0000.00E+00  0000.00E+00  
910000.E+00  0000.00E+00  0000.00E+00  
920000.E+00  0000.00E+00  0000.00E+00  
930000.E+00  0000.00E+00  0000.00E+00  
940000.E+00  0000.00E+00  0000.00E+00  
950000.E+00  0000.00E+00  0000.00E+00  
960000.E+00  0000.00E+00  0000.00E+00  
970000.E+00  0000.00E+00  0000.00E+00  
980000.E+00  0000.00E+00  0000.00E+00  
990000.E+00  0000.00E+00  0000.00E+00  
100000.E+01  0000.00E+00  0000.00E+00  

 To convert to Energy Lost - multiply by Average Binding Energy =  2  eV/Vacancy
