====== B (2000) into Si Solid                   =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  B   Energy = 200 keV
============= TARGET MATERIAL ======================================
Layer  1 : Si Solid
Layer Width =     2.E+04 A ;
  Layer # 1- Density = 4.976E22 atoms/cm3 = 2.321 g/cm3
  Layer # 1- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =10000.00
 Total Target Vacancies     = 795 /Ion
 Total Target Displacements = 862 /Ion
 Total Target Replacement Collisions = 67 /Ion

!!!! NOTE : 2nd Column below is number of Primary Knock-Ons !!!!
           ( PKO are number of Target Atoms Recoiling from the Ion. )
==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET    
   DEPTH          B           Si       
   (Ang.)     Knock-Ons    Vacancies   
-----------  -----------  -----------  
200010.E-03  4657.07E-06  3548.21E-05  
400010.E-03  5730.30E-06  4508.54E-05  
600010.E-03  5863.33E-06  5121.29E-05  
800010.E-03  6027.87E-06  5540.00E-05  
100001.E-02  6348.94E-06  5824.33E-05  
120001.E-02  6577.85E-06  6044.79E-05  
140001.E-02  6679.29E-06  6566.50E-05  
160001.E-02  7000.12E-06  6986.46E-05  
180001.E-02  7399.90E-06  6748.88E-05  
200001.E-02  7753.20E-06  7001.02E-05  
220001.E-02  7952.09E-06  7258.93E-05  
240001.E-02  8088.52E-06  7436.95E-05  
260001.E-02  8783.64E-06  7611.92E-05  
280001.E-02  9295.86E-06  8838.12E-05  
300001.E-02  9783.09E-06  9585.45E-05  
320001.E-02  1049.87E-05  1004.80E-04  
340001.E-02  1124.98E-05  1093.82E-04  
360001.E-02  1210.03E-05  1200.52E-04  
380001.E-02  1305.87E-05  1306.03E-04  
400001.E-02  1410.67E-05  1399.63E-04  
420001.E-02  1552.81E-05  1468.25E-04  
440001.E-02  1684.19E-05  1584.31E-04  
460001.E-02  1877.93E-05  1768.96E-04  
480001.E-02  2014.56E-05  1898.76E-04  
500001.E-02  2204.60E-05  1983.82E-04  
520001.E-02  2257.40E-05  2021.05E-04  
540001.E-02  2358.40E-05  2014.68E-04  
560001.E-02  2467.10E-05  2057.64E-04  
580001.E-02  2451.44E-05  2000.88E-04  
600001.E-02  2345.13E-05  1848.98E-04  
620001.E-02  2058.85E-05  1556.91E-04  
640001.E-02  1755.91E-05  1238.25E-04  
660001.E-02  1397.71E-05  9573.73E-05  
680001.E-02  1011.64E-05  6583.37E-05  
700001.E-02  6560.36E-06  4058.05E-05  
720001.E-02  4139.46E-06  2576.26E-05  
740001.E-02  2137.44E-06  1246.61E-05  
760001.E-02  7910.13E-07  4336.51E-06  
780001.E-02  4125.05E-07  2299.41E-06  
800001.E-02  1575.00E-07  8290.14E-07  
820001.E-02  6900.00E-08  3145.03E-07  
840001.E-02  2500.00E-09  3500.00E-09  
860001.E-02  0000.00E+00  0000.00E+00  
880001.E-02  0000.00E+00  0000.00E+00  
900001.E-02  0000.00E+00  0000.00E+00  
920001.E-02  0000.00E+00  0000.00E+00  
940001.E-02  0000.00E+00  0000.00E+00  
960001.E-02  0000.00E+00  0000.00E+00  
980001.E-02  0000.00E+00  0000.00E+00  
100000.E-01  0000.00E+00  0000.00E+00  
102000.E-01  0000.00E+00  0000.00E+00  
104000.E-01  0000.00E+00  0000.00E+00  
106000.E-01  0000.00E+00  0000.00E+00  
108000.E-01  0000.00E+00  0000.00E+00  
110000.E-01  0000.00E+00  0000.00E+00  
112000.E-01  0000.00E+00  0000.00E+00  
114000.E-01  0000.00E+00  0000.00E+00  
116000.E-01  0000.00E+00  0000.00E+00  
118000.E-01  0000.00E+00  0000.00E+00  
120000.E-01  0000.00E+00  0000.00E+00  
122000.E-01  0000.00E+00  0000.00E+00  
124000.E-01  0000.00E+00  0000.00E+00  
126000.E-01  0000.00E+00  0000.00E+00  
128000.E-01  0000.00E+00  0000.00E+00  
130000.E-01  0000.00E+00  0000.00E+00  
132000.E-01  0000.00E+00  0000.00E+00  
134000.E-01  0000.00E+00  0000.00E+00  
136000.E-01  0000.00E+00  0000.00E+00  
138000.E-01  0000.00E+00  0000.00E+00  
140000.E-01  0000.00E+00  0000.00E+00  
142000.E-01  0000.00E+00  0000.00E+00  
144000.E-01  0000.00E+00  0000.00E+00  
146000.E-01  0000.00E+00  0000.00E+00  
148000.E-01  0000.00E+00  0000.00E+00  
150000.E-01  0000.00E+00  0000.00E+00  
152000.E-01  0000.00E+00  0000.00E+00  
154000.E-01  0000.00E+00  0000.00E+00  
156000.E-01  0000.00E+00  0000.00E+00  
158000.E-01  0000.00E+00  0000.00E+00  
160000.E-01  0000.00E+00  0000.00E+00  
162000.E-01  0000.00E+00  0000.00E+00  
164000.E-01  0000.00E+00  0000.00E+00  
166000.E-01  0000.00E+00  0000.00E+00  
168000.E-01  0000.00E+00  0000.00E+00  
170000.E-01  0000.00E+00  0000.00E+00  
172000.E-01  0000.00E+00  0000.00E+00  
174000.E-01  0000.00E+00  0000.00E+00  
176000.E-01  0000.00E+00  0000.00E+00  
178000.E-01  0000.00E+00  0000.00E+00  
180000.E-01  0000.00E+00  0000.00E+00  
182000.E-01  0000.00E+00  0000.00E+00  
184000.E-01  0000.00E+00  0000.00E+00  
186000.E-01  0000.00E+00  0000.00E+00  
188000.E-01  0000.00E+00  0000.00E+00  
190000.E-01  0000.00E+00  0000.00E+00  
192000.E-01  0000.00E+00  0000.00E+00  
194000.E-01  0000.00E+00  0000.00E+00  
196000.E-01  0000.00E+00  0000.00E+00  
198000.E-01  0000.00E+00  0000.00E+00  
200000.E-01  0000.00E+00  0000.00E+00  

 To convert to Energy Lost - multiply by Average Binding Energy =  2  eV/Vacancy
