====== H (200) into Si Solid                    =======
        SRIM-2013.00
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 200 keV
============= TARGET MATERIAL ======================================
Layer  1 : Si Solid
Layer Width = 50000.E+00 AAA ;
  Layer # 1- Density = 4.976E22 atoms/cm3 = 2.321 g/cm3
  Layer # 1- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =10000.00
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===========================================================
   DEPTH       ENERGY      Energy       
   DEPTH        from       Absorbed     
   (Ang.)       IONS       by  Si       
----------   ------------  -----------  
500010.E-03  7586.27E-06  7599.07E-06  
100001.E-02  8582.32E-06  8609.52E-06  
150001.E-02  9027.39E-06  9107.39E-06  
200001.E-02  9406.87E-06  9513.67E-06  
250001.E-02  8754.05E-06  8909.65E-06  
300001.E-02  8119.34E-06  8319.74E-06  
350001.E-02  7426.39E-06  7631.99E-06  
400001.E-02  7957.42E-06  8091.42E-06  
450001.E-02  9543.09E-06  9701.89E-06  
500001.E-02  9219.03E-06  9399.83E-06  
550001.E-02  8644.10E-06  8831.30E-06  
600001.E-02  1007.00E-05  1025.92E-05  
650001.E-02  1193.77E-05  1213.89E-05  
700001.E-02  1159.96E-05  1181.56E-05  
750001.E-02  1056.71E-05  1078.03E-05  
800001.E-02  1156.25E-05  1176.73E-05  
850001.E-02  1210.66E-05  1232.86E-05  
900001.E-02  1236.33E-05  1261.93E-05  
950001.E-02  1364.47E-05  1390.23E-05  
100000.E-01  1356.60E-05  1383.72E-05  
105000.E-01  1629.24E-05  1656.68E-05  
110000.E-01  1704.02E-05  1735.58E-05  
115000.E-01  1909.66E-05  1940.54E-05  
120000.E-01  2165.64E-05  2199.64E-05  
125000.E-01  1869.85E-05  1910.77E-05  
130000.E-01  2008.36E-05  2050.76E-05  
135000.E-01  2341.28E-05  2389.52E-05  
140000.E-01  2842.01E-05  2893.01E-05  
145000.E-01  3003.44E-05  3061.24E-05  
150000.E-01  3379.58E-05  3449.82E-05  
155000.E-01  3891.04E-05  3973.04E-05  
160000.E-01  4288.22E-05  4390.86E-05  
165000.E-01  5471.11E-05  5609.71E-05  
170000.E-01  7227.70E-05  7417.58E-05  
175000.E-01  9496.87E-05  9773.27E-05  
180000.E-01  1161.53E-04  1201.08E-04  
185000.E-01  1190.58E-04  1238.41E-04  
190000.E-01  9542.73E-05  9981.41E-05  
195000.E-01  5232.52E-05  5503.52E-05  
200000.E-01  1989.74E-05  2102.46E-05  
205000.E-01  4530.13E-06  4794.53E-06  
210000.E-01  5810.18E-07  6254.18E-07  
215000.E-01  2741.71E-09  3141.71E-09  
220000.E-01  0000.00E+00  0000.00E+00  
225000.E-01  0000.00E+00  0000.00E+00  
230000.E-01  0000.00E+00  0000.00E+00  
235000.E-01  0000.00E+00  0000.00E+00  
240000.E-01  0000.00E+00  0000.00E+00  
245000.E-01  0000.00E+00  0000.00E+00  
250000.E-01  0000.00E+00  0000.00E+00  
255000.E-01  0000.00E+00  0000.00E+00  
260000.E-01  0000.00E+00  0000.00E+00  
265000.E-01  0000.00E+00  0000.00E+00  
270000.E-01  0000.00E+00  0000.00E+00  
275000.E-01  0000.00E+00  0000.00E+00  
280000.E-01  0000.00E+00  0000.00E+00  
285000.E-01  0000.00E+00  0000.00E+00  
290000.E-01  0000.00E+00  0000.00E+00  
295000.E-01  0000.00E+00  0000.00E+00  
300000.E-01  0000.00E+00  0000.00E+00  
305000.E-01  0000.00E+00  0000.00E+00  
310000.E-01  0000.00E+00  0000.00E+00  
315000.E-01  0000.00E+00  0000.00E+00  
320000.E-01  0000.00E+00  0000.00E+00  
325000.E-01  0000.00E+00  0000.00E+00  
330000.E-01  0000.00E+00  0000.00E+00  
335000.E-01  0000.00E+00  0000.00E+00  
340000.E-01  0000.00E+00  0000.00E+00  
345000.E-01  0000.00E+00  0000.00E+00  
350000.E-01  0000.00E+00  0000.00E+00  
355000.E-01  0000.00E+00  0000.00E+00  
360000.E-01  0000.00E+00  0000.00E+00  
365000.E-01  0000.00E+00  0000.00E+00  
370000.E-01  0000.00E+00  0000.00E+00  
375000.E-01  0000.00E+00  0000.00E+00  
380000.E-01  0000.00E+00  0000.00E+00  
385000.E-01  0000.00E+00  0000.00E+00  
390000.E-01  0000.00E+00  0000.00E+00  
395000.E-01  0000.00E+00  0000.00E+00  
400000.E-01  0000.00E+00  0000.00E+00  
405000.E-01  0000.00E+00  0000.00E+00  
410000.E-01  0000.00E+00  0000.00E+00  
415000.E-01  0000.00E+00  0000.00E+00  
420000.E-01  0000.00E+00  0000.00E+00  
425000.E-01  0000.00E+00  0000.00E+00  
430000.E-01  0000.00E+00  0000.00E+00  
435000.E-01  0000.00E+00  0000.00E+00  
440000.E-01  0000.00E+00  0000.00E+00  
445000.E-01  0000.00E+00  0000.00E+00  
450000.E-01  0000.00E+00  0000.00E+00  
455000.E-01  0000.00E+00  0000.00E+00  
460000.E-01  0000.00E+00  0000.00E+00  
465000.E-01  0000.00E+00  0000.00E+00  
470000.E-01  0000.00E+00  0000.00E+00  
475000.E-01  0000.00E+00  0000.00E+00  
480000.E-01  0000.00E+00  0000.00E+00  
485000.E-01  0000.00E+00  0000.00E+00  
490000.E-01  0000.00E+00  0000.00E+00  
495000.E-01  0000.00E+00  0000.00E+00  
500000.E-01  0000.00E+00  0000.00E+00  
