====== B (2000) into Si Solid                   =======
        SRIM-2013.00
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  B   Energy = 200 keV
============= TARGET MATERIAL ======================================
Layer  1 : Si Solid
Layer Width = 20000.E+00 AAA ;
  Layer # 1- Density = 4.976E22 atoms/cm3 = 2.321 g/cm3
  Layer # 1- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =10000.00
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===========================================================
   DEPTH       ENERGY      Energy       
   DEPTH        from       Absorbed     
   (Ang.)       IONS       by  Si       
----------   ------------  -----------  
200010.E-03  1797.33E-03  1806.65E-03  
400010.E-03  2050.62E-03  2062.08E-03  
600010.E-03  2089.63E-03  2101.35E-03  
800010.E-03  2232.95E-03  2245.00E-03  
100001.E-02  2135.01E-03  2147.71E-03  
120001.E-02  2501.87E-03  2515.02E-03  
140001.E-02  2699.96E-03  2713.32E-03  
160001.E-02  2616.71E-03  2630.71E-03  
180001.E-02  2417.70E-03  2432.50E-03  
200001.E-02  2859.01E-03  2874.52E-03  
220001.E-02  2570.16E-03  2586.07E-03  
240001.E-02  2932.51E-03  2948.69E-03  
260001.E-02  2879.08E-03  2896.65E-03  
280001.E-02  3292.87E-03  3311.46E-03  
300001.E-02  3629.29E-03  3648.86E-03  
320001.E-02  3864.81E-03  3885.81E-03  
340001.E-02  4098.06E-03  4120.56E-03  
360001.E-02  4445.90E-03  4470.11E-03  
380001.E-02  4650.54E-03  4676.66E-03  
400001.E-02  5131.84E-03  5160.05E-03  
420001.E-02  5457.01E-03  5488.07E-03  
440001.E-02  5569.38E-03  5603.06E-03  
460001.E-02  6309.52E-03  6347.07E-03  
480001.E-02  6596.17E-03  6636.45E-03  
500001.E-02  6896.00E-03  6940.08E-03  
520001.E-02  6864.50E-03  6909.64E-03  
540001.E-02  6902.14E-03  6949.29E-03  
560001.E-02  7008.59E-03  7057.91E-03  
580001.E-02  6566.04E-03  6615.05E-03  
600001.E-02  6061.14E-03  6108.03E-03  
620001.E-02  5118.60E-03  5159.76E-03  
640001.E-02  3990.47E-03  4025.59E-03  
660001.E-02  3053.44E-03  3081.40E-03  
680001.E-02  2055.48E-03  2075.72E-03  
700001.E-02  1252.26E-03  1265.38E-03  
720001.E-02  7829.07E-04  7911.86E-04  
740001.E-02  3832.96E-04  3875.71E-04  
760001.E-02  1245.78E-04  1261.60E-04  
780001.E-02  6823.01E-05  6905.51E-05  
800001.E-02  2379.96E-05  2411.46E-05  
820001.E-02  8836.79E-06  8974.79E-06  
840001.E-02  7410.43E-08  7910.43E-08  
860001.E-02  0000.00E+00  0000.00E+00  
880001.E-02  0000.00E+00  0000.00E+00  
900001.E-02  0000.00E+00  0000.00E+00  
920001.E-02  0000.00E+00  0000.00E+00  
940001.E-02  0000.00E+00  0000.00E+00  
960001.E-02  0000.00E+00  0000.00E+00  
980001.E-02  0000.00E+00  0000.00E+00  
100000.E-01  0000.00E+00  0000.00E+00  
102000.E-01  0000.00E+00  0000.00E+00  
104000.E-01  0000.00E+00  0000.00E+00  
106000.E-01  0000.00E+00  0000.00E+00  
108000.E-01  0000.00E+00  0000.00E+00  
110000.E-01  0000.00E+00  0000.00E+00  
112000.E-01  0000.00E+00  0000.00E+00  
114000.E-01  0000.00E+00  0000.00E+00  
116000.E-01  0000.00E+00  0000.00E+00  
118000.E-01  0000.00E+00  0000.00E+00  
120000.E-01  0000.00E+00  0000.00E+00  
122000.E-01  0000.00E+00  0000.00E+00  
124000.E-01  0000.00E+00  0000.00E+00  
126000.E-01  0000.00E+00  0000.00E+00  
128000.E-01  0000.00E+00  0000.00E+00  
130000.E-01  0000.00E+00  0000.00E+00  
132000.E-01  0000.00E+00  0000.00E+00  
134000.E-01  0000.00E+00  0000.00E+00  
136000.E-01  0000.00E+00  0000.00E+00  
138000.E-01  0000.00E+00  0000.00E+00  
140000.E-01  0000.00E+00  0000.00E+00  
142000.E-01  0000.00E+00  0000.00E+00  
144000.E-01  0000.00E+00  0000.00E+00  
146000.E-01  0000.00E+00  0000.00E+00  
148000.E-01  0000.00E+00  0000.00E+00  
150000.E-01  0000.00E+00  0000.00E+00  
152000.E-01  0000.00E+00  0000.00E+00  
154000.E-01  0000.00E+00  0000.00E+00  
156000.E-01  0000.00E+00  0000.00E+00  
158000.E-01  0000.00E+00  0000.00E+00  
160000.E-01  0000.00E+00  0000.00E+00  
162000.E-01  0000.00E+00  0000.00E+00  
164000.E-01  0000.00E+00  0000.00E+00  
166000.E-01  0000.00E+00  0000.00E+00  
168000.E-01  0000.00E+00  0000.00E+00  
170000.E-01  0000.00E+00  0000.00E+00  
172000.E-01  0000.00E+00  0000.00E+00  
174000.E-01  0000.00E+00  0000.00E+00  
176000.E-01  0000.00E+00  0000.00E+00  
178000.E-01  0000.00E+00  0000.00E+00  
180000.E-01  0000.00E+00  0000.00E+00  
182000.E-01  0000.00E+00  0000.00E+00  
184000.E-01  0000.00E+00  0000.00E+00  
186000.E-01  0000.00E+00  0000.00E+00  
188000.E-01  0000.00E+00  0000.00E+00  
190000.E-01  0000.00E+00  0000.00E+00  
192000.E-01  0000.00E+00  0000.00E+00  
194000.E-01  0000.00E+00  0000.00E+00  
196000.E-01  0000.00E+00  0000.00E+00  
198000.E-01  0000.00E+00  0000.00E+00  
200000.E-01  0000.00E+00  0000.00E+00  
