====== H (200) into Si Solid                    =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  H   Energy = 200 keV
============= TARGET MATERIAL ======================================
Layer  1 : Si Solid
Layer Width =     5.E+04 A ;
  Layer # 1- Density = 4.976E22 atoms/cm3 = 2.321 g/cm3
  Layer # 1- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =10000.00
 Total Target Vacancies     = 21 /Ion
 Total Target Displacements = 23 /Ion
 Total Target Replacement Collisions = 2 /Ion

!!!! NOTE : 2nd Column below is number of Primary Knock-Ons !!!!
           ( PKO are number of Target Atoms Recoiling from the Ion. )
==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET    
   DEPTH          H           Si       
   (Ang.)     Knock-Ons    Vacancies   
-----------  -----------  -----------  
500010.E-03  6400.00E-09  1220.00E-08  
100001.E-02  1360.00E-08  2540.00E-08  
150001.E-02  4000.00E-08  1168.00E-07  
200001.E-02  5340.00E-08  1864.00E-07  
250001.E-02  7780.00E-08  2736.00E-07  
300001.E-02  1002.00E-07  4408.00E-07  
350001.E-02  1028.00E-07  4038.00E-07  
400001.E-02  6700.00E-08  1896.00E-07  
450001.E-02  7940.00E-08  2650.00E-07  
500001.E-02  9040.00E-08  3466.00E-07  
550001.E-02  9360.00E-08  2978.00E-07  
600001.E-02  9460.00E-08  3432.00E-07  
650001.E-02  1006.00E-07  3040.00E-07  
700001.E-02  1080.00E-07  4392.00E-07  
750001.E-02  1066.00E-07  4160.00E-07  
800001.E-02  1024.00E-07  3092.00E-07  
850001.E-02  1110.00E-07  3834.00E-07  
900001.E-02  1280.00E-07  4322.00E-07  
950001.E-02  1288.00E-07  5292.00E-07  
100000.E-01  1356.00E-07  4348.00E-07  
105000.E-01  1372.00E-07  4560.00E-07  
110000.E-01  1578.00E-07  5614.00E-07  
115000.E-01  1544.00E-07  6222.00E-07  
120000.E-01  1700.00E-07  6552.00E-07  
125000.E-01  2046.00E-07  7688.00E-07  
130000.E-01  2120.00E-07  6790.00E-07  
135000.E-01  2412.00E-07  8090.00E-07  
140000.E-01  2550.00E-07  8574.00E-07  
145000.E-01  2890.00E-07  1036.80E-06  
150000.E-01  3512.00E-07  1190.60E-06  
155000.E-01  4100.00E-07  1436.20E-06  
160000.E-01  5132.00E-07  1494.60E-06  
165000.E-01  6930.00E-07  1984.80E-06  
170000.E-01  9494.00E-07  2674.00E-06  
175000.E-01  1382.00E-06  3584.00E-06  
180000.E-01  1977.60E-06  4714.40E-06  
185000.E-01  2391.20E-06  5029.00E-06  
190000.E-01  2193.40E-06  4223.80E-06  
195000.E-01  1355.00E-06  2391.00E-06  
200000.E-01  5636.00E-07  9386.00E-07  
205000.E-01  1322.00E-07  2174.00E-07  
210000.E-01  2220.00E-08  3180.00E-08  
215000.E-01  2000.00E-10  2000.00E-10  
220000.E-01  0000.00E+00  0000.00E+00  
225000.E-01  0000.00E+00  0000.00E+00  
230000.E-01  0000.00E+00  0000.00E+00  
235000.E-01  0000.00E+00  0000.00E+00  
240000.E-01  0000.00E+00  0000.00E+00  
245000.E-01  0000.00E+00  0000.00E+00  
250000.E-01  0000.00E+00  0000.00E+00  
255000.E-01  0000.00E+00  0000.00E+00  
260000.E-01  0000.00E+00  0000.00E+00  
265000.E-01  0000.00E+00  0000.00E+00  
270000.E-01  0000.00E+00  0000.00E+00  
275000.E-01  0000.00E+00  0000.00E+00  
280000.E-01  0000.00E+00  0000.00E+00  
285000.E-01  0000.00E+00  0000.00E+00  
290000.E-01  0000.00E+00  0000.00E+00  
295000.E-01  0000.00E+00  0000.00E+00  
300000.E-01  0000.00E+00  0000.00E+00  
305000.E-01  0000.00E+00  0000.00E+00  
310000.E-01  0000.00E+00  0000.00E+00  
315000.E-01  0000.00E+00  0000.00E+00  
320000.E-01  0000.00E+00  0000.00E+00  
325000.E-01  0000.00E+00  0000.00E+00  
330000.E-01  0000.00E+00  0000.00E+00  
335000.E-01  0000.00E+00  0000.00E+00  
340000.E-01  0000.00E+00  0000.00E+00  
345000.E-01  0000.00E+00  0000.00E+00  
350000.E-01  0000.00E+00  0000.00E+00  
355000.E-01  0000.00E+00  0000.00E+00  
360000.E-01  0000.00E+00  0000.00E+00  
365000.E-01  0000.00E+00  0000.00E+00  
370000.E-01  0000.00E+00  0000.00E+00  
375000.E-01  0000.00E+00  0000.00E+00  
380000.E-01  0000.00E+00  0000.00E+00  
385000.E-01  0000.00E+00  0000.00E+00  
390000.E-01  0000.00E+00  0000.00E+00  
395000.E-01  0000.00E+00  0000.00E+00  
400000.E-01  0000.00E+00  0000.00E+00  
405000.E-01  0000.00E+00  0000.00E+00  
410000.E-01  0000.00E+00  0000.00E+00  
415000.E-01  0000.00E+00  0000.00E+00  
420000.E-01  0000.00E+00  0000.00E+00  
425000.E-01  0000.00E+00  0000.00E+00  
430000.E-01  0000.00E+00  0000.00E+00  
435000.E-01  0000.00E+00  0000.00E+00  
440000.E-01  0000.00E+00  0000.00E+00  
445000.E-01  0000.00E+00  0000.00E+00  
450000.E-01  0000.00E+00  0000.00E+00  
455000.E-01  0000.00E+00  0000.00E+00  
460000.E-01  0000.00E+00  0000.00E+00  
465000.E-01  0000.00E+00  0000.00E+00  
470000.E-01  0000.00E+00  0000.00E+00  
475000.E-01  0000.00E+00  0000.00E+00  
480000.E-01  0000.00E+00  0000.00E+00  
485000.E-01  0000.00E+00  0000.00E+00  
490000.E-01  0000.00E+00  0000.00E+00  
495000.E-01  0000.00E+00  0000.00E+00  
500000.E-01  0000.00E+00  0000.00E+00  

 To convert to Energy Lost - multiply by Average Binding Energy =  2  eV/Vacancy
